,length
0,[1.8302794  1.77389745 1.78363993 1.83228086]
1,[1.78052244 1.93236767 1.80640683 2.08019    1.88662875]
2,[1.90599872 1.9191845  1.74985064 1.89905941 1.97507001]
3,[2.02030954 1.88311272 1.85479971 1.8646198  1.89146144]
4,[1.74412681 1.89008465 1.76290987 1.79493819]
5,[1.79038177 1.85233803 1.79626099 2.16683616 1.81051891]
6,[1.79045915 1.8856317  1.72714176 1.77036231]
7,[1.7932524  2.02771841 1.83071647 1.87144404 1.8139611 ]
8,[1.81826789 1.83064293 1.85813938 1.79835551]
9,[2.08879664 1.88453844 1.81094805 1.98716018 1.9758922  1.90802159]
10,[1.79024952 1.75622696 1.78223859 1.83841036]
11,[1.82852672 1.79254069 1.77404528 1.84230009]
12,[1.78254386 1.836256   1.92575598 1.89700055 1.8395476 ]
13,[1.80142992 1.75163845 1.77351735 1.80072162]
14,[1.74541471 1.8544368  1.76123128 1.8589828 ]
15,[1.73941861 2.13947474 1.79491567 1.97106493 1.80237752]
16,[1.8709261  2.05933924 1.86775907 1.85539707 1.88181011]
17,[1.76686818 1.95104748 1.86026303 1.85238582 1.90576015]
18,[1.87886829 1.9448945  1.86253446 1.80913155 1.91903063]
19,[1.87172897 1.86439114 1.95649429 1.90715592 1.79096958]
20,[1.72377756 1.84747447 1.84789352 1.73880232]
21,[1.81223226 1.76407112 1.72616013 1.80629186]
22,[1.76887181 1.81687692 1.74610316 1.77417295]
23,[1.91315775 1.89349341 1.83659525 2.15489608 1.85179482]
24,[1.91680407 1.74664928 1.81460147 1.73802123]
25,[1.96312881 1.9825583  1.73566864 1.91547882 1.8959697 ]
26,[1.82591121 1.77511956 1.82303457 1.77286002]
27,[1.86998674 2.01777963 1.85996254 1.86333503 1.82365355]
28,[1.83553725 1.78152113 1.7849577  1.81385238]
29,[1.81929617 1.96856235 1.92398534 1.82108693 1.88802669]
30,[1.76503487 1.84748641 1.81917427 1.85474086]
31,[2.01714175 2.00827114 1.88058571 2.02936808 1.86614358 1.82920604]
32,[1.76681226 1.87059968 1.74862788 1.82012914]
33,[1.82439712 2.11253115 1.94258968 1.84493379 1.79420166]
34,[1.85901981 1.95775698 1.9650232  1.75756288 1.84947455]
35,[1.73632424 1.78046493 1.8272085  1.78065114]
36,[1.76968229 1.82502362 1.86984176 1.78116347]
37,[2.02091528 1.81537137 1.87165789 1.76821091 2.03461216]
38,[1.86966204 1.72817365 1.802355   1.72810256]
39,[1.96356943 2.23011692 1.78570762 1.93417575 1.90860686 2.31765497]
