,length
0,[1.83542146 1.82600228 1.79186764 1.75077896]
1,[1.85663298 1.91945929 1.86856808 1.80514361 2.00602752]
2,[1.85956461 1.89901791 1.87500466 1.90912346 2.23071488 1.96956256]
3,[1.93165139 1.88164663 1.83974499 1.82412416 1.85702991]
4,[1.80114881 1.84394128 1.8196266  1.83355274]
5,[1.82499655 1.98676066 2.00035642 1.93046924 1.97496215 1.81867472]
6,"[1.82854546 3.17978293 3.51215813 2.86848441 1.94506324 3.41931456
 2.89228775 3.33220932 3.49167472 3.4637464  2.05557197 3.46752363
 2.71959108 3.37625532 3.57243901 1.97049245 2.99086586 3.37853488
 3.31450127 1.86812084 3.23759007 3.25408082 1.84003577 3.46894702
 2.96593954]"
7,[1.76256062 1.76641154 1.83122614 1.84080549]
8,[2.06633696 1.90976984 1.98296406 1.84203512 1.81912729 1.97330193]
9,[1.93934059 1.85908179 2.00771689 1.83269259 1.986601   1.90114104]
