,length
0,[1.78611606 1.80359213 1.84546547 2.03833242 1.89505242]
1,[1.85884051 1.78380289 1.75988675 1.74178669]
2,[1.95422176 1.8264718  1.8281153  1.84367156 1.98887003]
3,[1.83290143 1.83053251 1.79136398 1.80873093]
4,[1.80786151 1.90484331 1.88557132 1.84251499 2.02510928]
5,[1.93704386 1.87900171 1.94962651 1.98094377 1.88299502 2.05324802]
6,[1.83794955 1.77654121 1.85320196 1.84077759]
7,[1.78675327 1.76270004 1.71831983 1.85950488]
8,[1.80326585 1.93318743 1.71220885 1.80556301]
9,[1.78714707 1.78994472 1.80339353 1.77846555]
10,[1.87606476 1.99108429 1.84208694 2.02820203 1.89986915]
11,[1.74940467 1.71035536 1.75665834 1.7178583 ]
12,[1.79045402 1.80162238 1.80167124 1.76385142]
13,[2.00040476 1.98822588 1.82705104 1.83682619 1.8271427 ]
14,[1.97813622 1.8597518  1.83326514 1.81354067 1.86862063]
15,[1.92959153 1.87592355 1.74076636 1.8466901 ]
16,[1.75990386 1.87523557 1.73086413 1.81279634]
17,[1.83772834 1.77985606 1.86020681 1.83990935]
18,[1.70795691 1.93471827 1.7810433  1.78102936]
19,[1.70817846 1.78824787 1.76096573 1.86466531]
20,"[1.84363892 2.78296432 1.98974434 2.67942251 1.9326429  2.26465797
 1.91256531 1.88989212 2.75821665]"
21,[1.91689378 1.96666302 1.92126845 2.10789499 1.81204985]
22,[1.83471253 1.7427301  1.86040419 1.75839799]
23,[1.86694837 1.74516781 1.82603303 1.85047186]
24,[2.0166721  1.75368173 1.96015736 1.80138033 1.92729495]
25,[1.79743909 1.8938094  1.91243443 1.81911188 1.92749032]
26,[1.75354208 1.85371303 1.71118411 1.72744716]
27,[1.71027759 1.80194197 1.80966436 1.83474724]
28,[1.79684773 1.83000246 1.75028991 1.76007391]
29,[1.80472965 1.74561588 1.77270195 1.75074284]
30,[1.89161722 1.93025427 1.96448619 2.14602723 2.04354583 1.75308122]
31,[1.7546755  1.7405227  1.76545379 1.75139088]
32,[1.81703757 1.75502119 1.79160207 1.7886728 ]
33,[1.82213794 1.81032446 1.77670365 1.79736007]
34,[1.89133439 1.95140553 1.80112329 1.88776489 1.82988256]
35,[1.8485544  1.79540664 2.22406323 1.90120437 1.79005254]
36,[2.15943909 1.82452259 1.90879915 1.91348573 1.93884867]
37,[1.84684624 1.90327136 2.1661838  1.76811615 1.84379787]
38,[2.0504547  1.96605435 2.00623466 1.87091024 1.93228016]
39,[1.88915971 1.79978356 1.80735293 1.83545919 2.2202682 ]
