,length
0,[1.79964629 1.92756615 1.85689453 1.87286426 1.80280116]
1,[1.81515953 1.89391359 1.90149428 1.9379129  1.77079078]
2,[1.81041787 1.86288738 1.73230652 1.78424823]
3,[2.02271818 1.88111567 1.88974762 1.94600667 1.86725606]
4,[1.86441802 1.81087281 1.79915405 1.79095101]
5,[1.88659028 1.93187395 1.89466653 1.8607731  1.76376396]
6,[1.79177035 2.01054979 1.83615695 1.91892857 1.85484508]
7,[1.7513467  1.87461198 1.83246009 1.80818306]
8,[1.90726327 1.85503499 1.82465837 1.81457615]
9,[1.73927985 1.80572977 1.78159151 1.82665404]
10,[1.81885557 1.75545904 1.81250924 1.74581734]
11,[1.88971949 1.85556595 2.053958   1.83894487 1.83527836]
12,[1.82322382 1.80165088 1.72726645 1.83419908]
13,[1.9015872  1.86518923 1.83956558 2.03623028 1.81083678]
14,[1.81631045 1.86600876 1.89621401 1.89152926 1.83483996]
15,[1.96947434 1.85118255 2.47884283 1.82856779 2.01025064 1.81143473]
16,[1.89277804 1.81877766 2.0054865  1.86942675 1.92276771]
17,[1.77535593 1.84837203 1.75787957 1.74980576]
18,[1.80096666 1.82102964 1.84146946 1.78607718 1.8874365 ]
19,[1.9799834  1.76077781 1.81273196 1.98149827 1.82716102]
20,[1.83466498 1.94078445 1.89023403 1.87151911 1.91839877]
21,[1.91089    1.85096738 1.87095643 1.83855506 1.83191806]
22,[1.79786786 1.8370099  1.76556947 1.80104124]
23,[1.83197616 1.78463955 1.75527634 1.85881101]
24,[1.79891495 1.90943449 2.02195401 1.9187511  1.85798669]
25,[1.7814477  1.80643907 1.80885469 1.79177489]
26,[2.08709406 1.88223247 1.86534102 1.91502856 1.7812635 ]
27,[1.87896932 1.92397336 1.89651822 2.14676055 1.77846594]
28,[1.82368267 1.94704911 1.83287428 1.97456734 1.96656958]
29,[1.75964841 1.74104974 1.8661899  1.81935074]
30,[2.02683706 1.89820041 1.93206791 1.79501842 1.97178575 2.01739317]
31,[1.76389721 1.83173785 1.85808579 1.81116222]
32,[1.84096937 1.86502751 1.78349113 1.85500102 1.94272431]
33,[1.78261491 1.86940336 1.86681914 1.76827188]
34,[1.73109873 1.84527858 1.76087044 1.80184521]
35,[1.84515891 1.85082094 1.84168127 1.91639968 1.90278292]
36,[1.88798326 1.89625207 2.25181488 1.75301236 1.82756824]
37,[1.80798465 2.013863   2.09697277 1.78012525 1.88434771]
38,[1.76119163 1.76827387 1.79217902 1.75612185]
39,[1.84763876 1.81957413 1.77709216 1.85101198]
