,length
0,[1.88472118 1.97573261 1.85061246 1.95091106 1.99315044 1.87008962]
1,[1.89408253 1.91313556 1.97865508 1.88465013 2.01721221 2.0468499 ]
2,[1.85061246 1.88472118 1.97573261 1.87008962 1.95091106 1.99315044]
3,[1.97865508 1.89408253 1.91313556 2.01721221 2.0468499  1.88465013]
4,[1.88465013 2.01721221 2.0468499  1.89408253 1.91313556 1.97865508]
5,[2.01721221 2.0468499  1.88465013 1.97865508 1.89408253 1.91313556]
6,[1.95091106 1.99315044 1.87008962 1.88472118 1.97573261 1.85061246]
7,[1.87008962 1.95091106 1.99315044 1.85061246 1.88472118 1.97573261]
8,[1.97573261 1.88472118 1.85061246 1.99315044 1.95091106 1.87008962]
9,[1.85061246 1.97573261 1.88472118 1.87008962 1.99315044 1.95091106]
10,[1.91313556 1.89408253 1.97865508 1.88465013 2.0468499  2.01721221]
11,[1.97865508 1.91313556 1.89408253 2.0468499  2.01721221 1.88465013]
12,[1.99315044 1.95091106 1.87008962 1.97573261 1.88472118 1.85061246]
13,[1.88465013 2.0468499  2.01721221 1.91313556 1.89408253 1.97865508]
14,[2.0468499  2.01721221 1.88465013 1.97865508 1.91313556 1.89408253]
15,[1.87008962 1.99315044 1.95091106 1.85061246 1.97573261 1.88472118]
