,length
0,[1.81234846 1.81196273 1.81461366 1.80022368]
1,[2.10914085 2.13886969 1.88369826 1.84519488 1.95033243 1.95398089]
2,"[3.43833523 2.65284696 1.84205397 1.83753857 3.31122063 2.77320297
 3.37259328 3.549872   2.76645203 1.9513835  2.91791464 3.25963769
 1.95772231 3.59845202 3.43964451 3.66249624 2.0761435  2.88703014
 2.99910282 2.87636118 1.88392857 3.36596235 3.53612914]"
3,"[3.42911351 3.65517355 2.05422468 2.8716453  3.34474224 2.99910282
 1.89659442 3.35580966 3.57638841 2.9062464  1.85167876 3.55090371
 1.95128123 2.78500932 3.24062882 1.94806029 2.89164481 3.62702814
 3.41653936 1.84518188 2.74944777 2.65284696 3.31687021]"
4,[1.98752305 2.00156828 1.95534498 2.01193484 2.00182318 1.97504899]
5,"[3.45300919 1.96818242 3.27866607 1.87870879 3.44297221 3.32699057
 2.8392828  2.82543463 3.47273265 2.83044475 2.84039459 1.86547254
 1.84929202 3.39968232 2.81993094 3.44279739 3.30373846 2.79938983
 2.90591628 1.87674659 1.96156699 3.34417223 3.45038522 2.81252575]"
6,[2.03521305 1.90987131 2.06219597 1.89200811 1.97092785 1.90224522]
7,[1.81559558 1.7760842  1.78740476 1.77306115]
8,[1.76700888 1.78216065 1.82070584 1.87076489]
9,[1.87070989 1.95728567 1.8653838  1.85876021 1.95829295 1.86782488]
10,[1.82738607 2.00373461 1.97165177 2.19751516 1.86460916 2.11408109]
11,"[1.84647558 3.46159013 2.81541514 2.79938983 1.8750978  2.96231985
 3.29697835 1.98077283 3.33870841 3.47827784 2.8181069  3.46957576
 1.94324041 3.28733677 3.31815614 1.89357828 3.44732927 2.84245863
 2.86950132 2.83044475 3.41531772 3.45471219 1.87017018 2.83641248]"
12,[1.8449421  2.02383729 1.77603259 1.72229502]
13,[1.94769774 1.92558646 2.14326496 1.92816251 1.91703372 1.90009656]
14,[1.91486831 1.87064263 2.12964422 1.78232202 1.87420496 2.24744151]
15,[1.94847425 1.84887089 1.96175588 2.08902316 1.84919033 1.90535227]
