,length
0,[2.22977902 1.76259915 1.78818082 1.80190515 1.86269124]
1,[1.95642619 1.84229531 2.24744412 1.84871369 1.83580828 1.95336136]
2,[1.86080763 2.0630861  1.92722945 1.96632633 1.8202561  2.06559913]
3,[1.80598842 1.78288576 1.77878783 1.77089006]
4,[1.82220917 1.83429856 1.85541327 1.89183262 1.99310662]
5,[2.04958441 2.0372688  1.83537024 1.93742183 1.81216515 2.06912824]
6,[1.77474584 1.80510118 2.00444051 2.04260195 1.91346683]
7,[1.85223808 1.78064251 1.96952482 1.81412715 1.85383573]
8,[1.73989829 1.85465842 1.89068441 1.83881106]
9,[1.8431298  2.00418563 1.89725439 1.92455633 1.94372956]
10,[1.93816027 2.16052853 1.8677776  1.91825863 1.98716672 1.92779268]
11,[1.80461685 1.74950837 1.82261678 1.8159307 ]
12,[1.83131561 1.85129933 1.75616701 1.77778354]
13,[1.93068381 1.9076607  1.99073723 1.82322788 1.83880343]
14,[1.8904471  1.88049558 1.78883017 1.75447498]
15,[1.81253494 1.77870581 1.75465293 1.78894052]
