,length
0,[1.80891425 1.65467922 1.82068614 1.68695678]
1,[1.82593433 1.9647595  1.83373947 1.91951975 1.85514482]
2,[1.82651389 1.92467746 1.90622331 1.91727426 2.01373869 2.2748792 ]
3,[1.70848883 1.82745296 1.83591174 1.76032181]
4,[1.91494343 1.83186005 1.84989357 1.98783946 1.79234775]
5,[1.84006345 1.82249765 1.82170892 1.98452272 1.81679153]
6,[1.86396226 1.96633286 1.89014282 1.82514627 1.85794678]
7,[2.06767715 1.84540483 1.89866113 1.79816762 1.74329744]
8,[1.81798085 1.88481323 1.88588046 1.91544888 1.82213572]
9,[1.87775588 1.75977658 1.78513418 1.80666291]
10,[1.86168293 1.86568606 1.82860765 1.95578917 2.03458833]
11,[1.87582202 1.8087233  1.83696842 1.90182235 1.87541627]
12,[1.75803002 1.85643509 1.79260244 1.76136337]
13,[2.06353124 2.27888197 1.8360641  2.09360247 1.70975026 1.94732673]
14,[1.93085467 1.928187   1.87134305 1.87185236 1.90367968]
15,[1.77779224 1.75828253 1.77768152 1.85114965]
16,[1.85882337 1.85963925 1.77895505 1.96277108 1.87324995]
17,[1.7837706  1.81861378 1.79145525 1.75669456]
18,[1.74485008 1.75015412 1.93289904 1.81498955]
19,[1.87827155 1.8440403  1.819886   1.9492811  1.83697207]
20,[1.75952653 1.79087058 1.78717923 1.83561956]
21,[1.84580421 2.1881423  1.82512441 1.88620121 1.79661479]
22,[1.79997139 1.71854818 1.82158236 1.78326624]
23,[1.81736003 1.83370734 1.8252482  1.75579805]
24,[1.82704195 1.91333988 1.84150153 2.08328636 1.91874676]
25,[1.78193484 1.79033497 1.76260786 1.83099206]
26,[1.79540834 1.84123397 1.85338372 1.81283735]
27,[1.75480836 1.80309333 2.02949731 1.87204358 1.77213745]
28,[2.36318658 1.92019462 1.92301253 1.96701239 1.87559952 1.95390656]
29,[1.77486142 1.81095292 1.78121852 1.80767991]
30,[1.92428039 1.90315666 1.84658688 1.86209373 1.90962225]
31,[1.9567511  1.99153571 1.85191908 2.22895661 1.96514252 1.90609665]
32,[1.76830121 1.78165984 1.74712639 1.78493488]
33,[1.77395617 1.76623733 1.7560129  1.83986843]
34,[1.76758642 1.7927373  1.79713261 1.86323575]
35,[1.85155605 1.86846136 1.92152933 1.81203794 1.97662276]
36,[1.72709664 1.87510977 1.86545901 1.88708786]
37,[2.32324419 1.76910002 2.04674132 1.86569191 1.83365917 1.86870154]
38,[1.9146878  1.80777086 1.83063925 1.72514989]
39,[1.82341398 1.92386498 1.82745526 1.77469865]
