,length
0,[1.84945993 1.82045883 1.86126198 1.83484461 2.00153497]
1,[1.7770306  1.75250864 1.80751976 1.74571739]
2,[1.72694766 1.74779626 1.7832555  1.80334461]
3,[1.78985403 1.78964621 1.74713524 1.73825124]
4,[1.90154745 1.75822502 1.89141629 1.83272244 1.90569959]
5,[1.88879411 1.70089712 1.85604099 1.84080591]
6,[1.83710152 1.91239577 1.79712211 1.87600205 1.88563226]
7,[1.8419773  1.90777815 1.77848969 1.78063434]
8,[1.76637476 2.00359064 1.80941901 1.93331765 1.90408726]
9,[1.80469231 1.7756443  1.83878885 1.68110139]
10,[1.81360867 1.80954488 1.7948691  1.73560564]
11,[1.76876775 1.86291679 1.81333179 1.7712769  2.25571715]
12,[1.83911486 1.82800767 1.72711722 1.96906693 1.97220211]
13,[1.87494353 2.03748653 1.78984235 2.16444128 1.87659618]
14,[1.84896002 2.05901248 1.97542601 2.3227943  1.78041442]
15,[1.80250905 1.77692685 1.7111547  1.82428882]
16,[1.90226561 2.03444642 1.80793451 1.80090144 1.99220115]
17,[1.80742845 1.70268132 1.93600912 1.81205592]
18,[2.13841051 1.82705553 1.89136882 1.90862774 2.10602951 1.94665388]
19,[1.77818144 1.87170459 1.7773969  1.86953465]
20,[1.79808078 1.82042903 1.77964345 2.02263176 1.7664618 ]
21,[1.83958007 1.92395263 2.04898186 1.77106876 1.83858888]
22,[1.74433952 1.84555137 1.76024674 1.73266285]
23,[1.96663729 1.93390591 1.96883021 1.91978429 1.94376924]
24,[1.97004572 1.92794317 1.90758222 1.82572467]
25,[1.79931555 1.81598115 2.02766488 2.24971765 1.90994918 1.87643972]
26,[1.83599598 1.79726756 1.71949168 1.95253748]
27,[1.90265468 1.96335247 1.89706732 1.87000598 1.97459023]
28,[2.35673019 1.88733803 1.796976   1.8196867  1.81468652]
29,[1.87618023 1.92038384 1.8002272  1.74720925 1.91374752]
30,[1.84176715 2.32426911 1.88867528 1.76992356 1.82129274]
31,[1.96127512 1.76823111 1.79805025 1.82748849]
32,[1.86733817 1.85266394 1.8245982  1.85261333 1.92363339]
33,[1.76379705 1.76014623 1.7824311  1.84242132]
34,[1.72969569 1.85042309 1.81008479 1.75300473]
35,[1.89519027 1.97092791 1.9478744  1.8146776  1.83738179]
36,[1.78795905 1.8005633  1.75063648 1.81523183]
37,[1.84977296 1.93237168 1.81974703 1.72811189]
38,[1.89533883 1.95253553 1.84925045 1.93508621 1.8637117 ]
39,[1.86001313 1.73788205 1.82313686 1.86879185]
