,length
0,[2.03735954 1.9761772  1.85925366 1.88930428 1.93188016]
1,[1.87684114 1.82409107 1.96093805 2.24429966 1.88936987 1.88486217]
2,[1.77584155 1.74177881 1.75845289 1.78458126]
3,[1.79404023 1.8861079  1.82250648 1.76482886]
4,[1.84897425 1.8616383  1.942884   1.93091936 1.87966613]
5,[1.77911129 1.7984442  1.76736239 1.81402922]
6,[1.84629557 1.84071099 1.90064145 1.89255107 1.89830739]
7,[1.82971385 1.77560157 1.79692853 1.81270514]
8,[1.94434318 1.9431646  1.97581591 1.86463415 1.96741062 2.07126116]
9,[1.98511135 1.90160935 1.92480489 1.91450738 1.78318604]
10,[1.76195898 1.79046663 1.73889735 1.70738582]
11,[1.82256176 1.88149862 1.81632977 1.97519724]
12,[1.78322671 1.75439985 1.8201123  1.80165401]
13,[1.80256581 1.82888285 2.00293941 1.90292922 1.78322781]
14,[1.85021753 1.86294032 1.84023237 1.95415659 1.82614283]
15,[2.19347922 2.27840242 2.02263282 1.86176997 1.91215714 1.8058971 ]
16,[1.81785955 1.86985056 1.86874919 1.76005418]
17,[1.77248313 1.86663732 1.81772977 1.83308253]
18,[1.88563601 1.97488129 1.8341923  1.84445943 1.99560628]
19,[1.78499431 1.82568408 1.73702098 1.7426461 ]
20,[1.78188476 1.77602357 1.79518799 1.74720259]
21,[1.91123259 1.84112578 1.87105791 1.9216357  1.84269526]
22,[1.82557939 1.75795023 1.77918084 1.72727276]
23,[1.70218949 1.83267304 1.90745048 1.75185098]
24,[1.77387683 1.85729114 1.78026987 1.7583279 ]
25,[1.70057824 1.77666769 1.78342507 1.82720475]
26,[1.83779069 1.90235047 1.97143052 1.90801989 2.00512612 1.82808055]
27,[1.72331882 1.73041408 1.87960819 1.78829164]
28,[1.79120506 1.88632225 1.89134303 2.09042861 1.86492957]
29,[1.76212903 1.80580557 1.81835899 1.77702549]
30,[1.75877051 1.76665871 1.79452249 1.76734615]
31,[2.02656628 1.80419676 1.80030316 1.87693764 1.91051279]
32,[1.95790885 1.98236804 1.80869918 1.86659675 1.90627095]
33,[1.81341809 1.8014068  1.82554447 1.75854815]
34,[1.8750218  2.13708244 1.83484583 1.90484262 1.82789733]
35,[2.10348544 1.85642086 1.97224112 1.93541283 1.75952865]
36,[1.91028645 1.80140576 1.78731672 1.86658003]
37,[1.826552   1.81624785 1.90396443 1.85196807 2.12848933]
38,[1.81843818 1.82710502 1.81212778 2.03240266 1.82480215]
39,[1.8340818  1.85613255 1.8018162  1.7905122 ]
