,length
0,[1.92546141 1.92546141 1.92546141 1.92546141 1.92546141 1.92546141]
1,[1.94789602 1.99667266 1.87088631 1.99667266 1.94789602 1.87088631]
2,[1.87088631 1.94789602 1.99667266 1.99667266 1.87088631 1.94789602]
3,[1.99667266 1.94789602 1.87088631 1.94789602 1.87088631 1.99667266]
4,[1.87088631 1.87088631 1.94789602 1.99667266 1.99667266 1.94789602]
5,[1.87088631 1.87088631 1.99667266 1.94789602 1.94789602 1.99667266]
6,[1.99667266 1.94789602 1.87088631 1.94789602 1.99667266 1.87088631]
7,[1.92546141 1.92546141 1.92546141 1.92546141 1.92546141 1.92546141]
8,[1.92546141 1.92546141 1.92546141 1.92546141 1.92546141 1.92546141]
9,[1.92546141 1.92546141 1.92546141 1.92546141 1.92546141 1.92546141]
10,[1.87088631 1.99667266 1.94789602 1.87088631 1.94789602 1.99667266]
11,[1.99667266 1.94789602 1.94789602 1.99667266 1.87088631 1.87088631]
12,[1.94789602 1.99667266 1.99667266 1.94789602 1.87088631 1.87088631]
13,[1.99667266 1.87088631 1.94789602 1.87088631 1.94789602 1.99667266]
14,[1.94789602 1.87088631 1.99667266 1.99667266 1.94789602 1.87088631]
15,[1.87088631 1.94789602 1.99667266 1.87088631 1.99667266 1.94789602]
