,length
0,[2.24456737 1.86287704 1.91394263 1.86094149 1.84449173 1.95274987]
1,[1.8540909  1.84086442 1.68879813 1.87167177]
2,[1.80960561 1.75585272 1.82108113 1.84630554]
3,[1.86243705 2.07597129 1.8272274  1.81918625 1.942046  ]
4,[1.76894909 1.78660906 1.73479238 1.76019067]
5,[1.84149682 1.80609277 1.85036048 1.87594431]
6,[1.79492257 1.80094631 1.74161638 1.8133794 ]
7,[1.80553018 1.88309337 1.75631061 1.7756075 ]
8,[1.7921693  1.77471692 1.80843881 1.79061435]
9,[1.7958306  1.77572274 1.88708704 1.81374769]
10,[1.8076051  1.70216123 1.80835094 1.86369564]
11,[1.88752208 1.84268727 1.81358363 1.76558318]
12,[1.76218022 1.77222425 1.83473587 1.85171306]
13,[1.88579059 1.86470535 1.86607068 1.8922755  1.91599806]
14,[2.04493496 1.92518539 2.3261199  1.90676085 1.81981943 2.00638753]
15,[1.76216016 1.7457938  1.75740899 1.78827792]
16,[2.02873647 1.81088668 1.83290637 1.75541121 1.92237149]
17,[1.83904704 1.85077165 1.86545478 1.86218    1.87725527]
18,[1.89316946 2.05797108 1.80639408 1.86615885 1.82462292]
19,[1.87581779 1.83660436 1.84704963 1.80714135]
20,[1.74488096 1.88478841 1.84008992 1.83309778]
21,[1.85972649 1.97189125 1.77698301 1.8131333  1.79092386]
22,[1.89450609 1.87907494 1.94159061 1.84747169 1.91603071]
23,[1.80670504 1.89378948 1.91180506 1.85063312 1.84827479]
24,[1.74993349 1.75417179 1.82461796 1.67256827]
25,[1.88817243 2.0148417  1.92981228 2.00643276 1.82146665 2.24341404]
26,[1.80225726 1.83537508 2.09189506 1.81732543 1.81526335]
27,[1.77997179 1.94570455 2.09677002 1.71250478 1.84348712]
28,[1.82141789 1.80438248 1.93788194 1.86168063 1.90105783]
29,[1.95330105 1.9150667  2.20292498 1.9227621  1.85800467 1.95520776]
30,[1.77151215 1.83406982 1.76692338 1.85777847]
31,[2.00667537 1.86435801 1.78496421 1.8992026  1.84258576]
32,[1.82812011 1.850571   1.76402487 1.80372869]
33,[1.78491993 1.83502155 1.77279213 1.81513051]
34,[1.75756393 1.79017706 1.73482346 1.74882189]
35,[1.68773163 1.79143763 1.82013484 1.83354472]
36,[1.89846224 1.85243769 2.17124426 2.25978784 2.00927246 1.75775396]
37,[1.87535268 2.07172751 1.93379571 1.89982909 1.80885172]
38,[1.79475243 1.81998707 2.09337621 1.90246523 1.79680366]
39,[1.77602187 1.7538908  1.71422376 1.86503661]
