,length
0,[1.82859509 2.04018776 1.88123226 1.84519667 1.90032977]
1,[1.76110835 1.78631602 1.84199029 1.81137213]
2,[1.8108972  1.78589985 1.68432496 1.83434595]
3,[1.79884025 1.84312297 1.76297484 1.8157174 ]
4,[1.75701064 1.79662524 1.75310195 1.77657466]
5,[1.79038087 2.10499523 1.84646866 1.92688192 1.87352105]
6,[1.82983157 1.80222167 1.75346411 1.80627878]
7,[1.83936132 1.79637582 1.8484418  1.70082621]
8,[1.93095641 1.80240724 1.95056821 1.93116786 1.85368053]
9,[1.79690819 1.74076521 1.84244993 1.72759616]
10,[1.7813123  1.7656206  1.81287556 1.80126045]
11,[1.7148837  1.81813035 1.80580317 1.90645056]
12,[1.93162543 1.84545817 1.90567661 1.86232082 1.99888636]
13,[1.79398942 1.86593659 1.85693402 1.69815107]
14,[1.79758055 1.73606148 1.86557751 1.83380747]
15,[1.82911197 1.71382394 1.99807093 1.83671372 2.05609429]
16,[1.77569703 1.76281202 1.84213197 1.78630725]
17,[1.82310783 1.93646635 1.8094062  1.84000213 1.85627049]
18,[1.81659489 1.74155029 1.77824031 1.82949328]
19,[1.80286406 1.9131654  1.8857876  1.85686813 1.78862471]
20,[1.95275696 1.88449309 2.06847985 1.86135974 1.84333223]
21,[1.89335434 1.79562019 1.79840673 1.83201645 1.90842179]
22,[1.76495664 1.81761037 1.78156731 1.84718248]
23,[1.79419373 1.74744609 1.70025697 1.85495612]
24,[1.82225168 1.84230263 1.81090305 1.84873739]
25,[1.82442964 1.80487102 1.84058252 1.85525046]
26,[1.68575938 1.76949228 1.71156841]
27,[2.14025738 2.09548295 1.85623838 1.75044496 1.86925511 1.96853222]
28,[1.83382639 1.77613793 1.90419148 2.03334392 1.82998732]
29,[1.79812803 1.99429006 1.99805817 1.94114901 1.7906989 ]
30,[1.86686015 1.83014811 1.93732385 2.00578832 1.77189117]
31,[1.81265451 1.96415188 2.04908762 1.74246016 1.86679569]
32,[1.80536963 1.7661038  1.73418562 1.7973451 ]
33,[1.79978206 1.84558775 1.81369273 1.80619763 2.31290458]
34,[1.9050823  1.86883475 1.92412714 2.12792112 1.87884133 1.98301517]
35,[1.84570083 1.85146241 1.83902865 1.88124343 1.85018545]
36,[1.73509378 1.82810795 1.78608886 1.75767625]
37,[1.85938126 1.73012543 2.22871711 1.85842049 1.8438908 ]
38,[1.81472718 1.97356545 1.82180825 1.80745085 1.83693622]
39,[1.86752885 2.12525778 1.99511425 1.79015868 1.76987425]
