,length
0,[1.78677277 1.77241018 1.81684337 1.79497976]
1,[1.82109721 2.0464676  1.83510326 1.98802823 1.77510153]
2,[1.8614994  1.96386829 1.82916096 1.81778324 2.07916122]
3,[1.81595787 2.08665838 1.80490922 1.84017614 1.85213311]
4,[1.92429317 1.95195314 1.82915752 1.79641918 1.87849059]
5,[1.77050827 1.80863337 1.76509901 1.8036663 ]
6,[1.7907422  1.8423396  1.74601965 1.89729046]
7,[1.86567923 2.05554428 1.83710509 1.77818309 1.88809045]
8,[1.94716161 1.88870073 1.81431187 1.72356546]
9,[1.82378103 1.9137476  1.91224875 1.84512764 1.87914584]
10,[1.86831261 1.82283689 1.91635695 1.95485165 1.94643556]
11,[1.81867732 1.83356306 1.8176913  1.75936043 2.25710196]
12,[1.84987145 1.75186258 1.88382626 1.71451592]
13,[1.84489852 1.80608528 2.07888687 1.82412833 1.84559683]
14,[1.86531469 1.7987283  1.83814111 1.79553874]
15,[2.00082226 1.94046039 1.93005819 1.94678769 1.95321965 1.91545814]
16,[1.92847167 2.06254741 1.88986624 2.02351123 1.83010241]
17,[1.92597362 1.77616476 1.90297437 1.80815179 1.86061583]
18,"[3.31832325 2.00773993 3.6055292  3.71134318 3.30241851 3.87795735
 3.56166264 3.97981058 3.3622973  2.96828851 1.79496002 4.04848859
 2.95110833 1.74949088 3.91353726 3.70608365 3.00239661 3.3450277
 2.17045653 3.80801003 2.71936169 2.97935695 2.42750242 3.92597727
 3.73305566 1.93442958 3.86758678 2.53581943]"
19,[1.75656364 1.96388725 1.80636326 1.78427082]
20,[1.72053869 1.80415206 1.81645604 1.79469939]
21,[1.83526838 1.90074708 1.84964326 1.76330796]
22,[1.77127106 1.94552037 1.86351159 1.87299221 2.01818494]
23,[1.89021346 1.76029039 2.16238551 2.04567086 1.79672396 1.92522807]
24,[1.82828953 1.94243831 1.83982405 1.97195585 1.82850951]
25,[1.80794797 1.70560914 1.77907258 1.83765887]
26,[1.85145316 1.78227239 1.80234459 1.7343687 ]
27,[1.93866584 1.85458727 1.74516201 1.94494378 2.12484033]
28,[1.84629358 1.8665985  1.86196659 1.98566961 1.80638536]
29,[1.76443044 1.8892091  2.01490042 1.9018994  1.94769858]
30,[1.81938468 1.81313098 1.76735365 1.82292984]
31,[1.78108541 1.75713987 1.76955958 1.76080064]
32,[1.79361576 1.75604927 1.94343898 1.82425773]
33,[1.86471437 1.87715931 1.8889259  2.01768766 1.81894214]
34,[1.72325634 1.75286005 1.81590532 1.91152725]
35,[1.74624491 1.76111105 1.73795004 1.81352426]
36,[1.75775771 1.73163707 1.7729359  1.74244637]
37,[1.85564504 1.86465671 1.81837951 1.89004669]
38,[1.7770942  1.77303885 1.90465523 1.84872767]
39,[1.91759013 1.85643259 1.79691026 2.01627427 1.8659221 ]
