,angle
0,93.19134479762842
1,91.55196630681763
2,88.44803369318235
3,86.80865520237157
4,179.99999914622634
5,104.66993956661504
6,75.33006043338496
7,180.0
8,86.80865520237157
9,180.0
10,75.33006043338496
11,88.44803369318234
12,104.66993956661503
13,91.55196630681768
14,93.19134479762843
15,104.66993956661504
16,91.55196630681765
17,88.44803369318235
18,75.33006043338496
19,180.0
20,93.19134479762842
21,86.80865520237157
22,180.0
23,75.33006043338496
24,180.0
25,86.80865520237158
26,88.44803369318235
27,93.19134479762843
28,91.55196630681765
29,104.66993956661503
30,91.55196630681763
31,104.66993956661506
32,75.33006043338496
33,88.44803369318234
34,180.0
35,93.19134479762842
36,86.80865520237157
37,179.99999914622634
38,88.44803369318235
39,180.0
40,86.80865520237157
41,75.33006043338496
42,93.19134479762843
43,104.66993956661503
44,91.55196630681768
45,93.19134479762842
46,104.66993956661504
47,75.33006043338496
48,86.80865520237157
49,180.0
50,91.55196630681765
51,88.44803369318235
52,180.0
53,86.80865520237158
54,180.0
55,88.44803369318235
56,75.33006043338496
57,91.55196630681766
58,104.66993956661503
59,93.19134479762843
