,length
0,[2.0858223  2.0830341  2.09045587 2.08501436]
1,[2.08501557 2.08299078 2.0905105  2.08580831]
2,[2.08596672 2.08320839 2.09049726 2.0846401 ]
3,[2.08461732 2.08327982 2.09046024 2.08594023]
