,length
0,[2.40676991 2.34246589 2.34319742 2.38356687]
1,[2.38356683 2.34246598 2.34318928 2.4067698 ]
2,[2.34319222 2.38356683 2.4067698  2.34246592]
3,[2.34318928 2.4067698  2.38356683 2.34246598]
4,[2.34246589 2.34319742 2.38356687 2.40676991]
5,[2.4067698  2.34246592 2.34319222 2.38356683]
6,[2.38356687 2.34319742 2.34246589 2.40676991]
7,[2.4067698  2.34318928 2.34246598 2.38356683]
8,[2.34246592 2.4067698  2.38356683 2.34319222]
9,[2.34246598 2.38356683 2.4067698  2.34318928]
10,[2.40676991 2.38356687 2.34319742 2.34246589]
11,[2.38356683 2.34319222 2.34246592 2.4067698 ]
12,[2.43924958 2.38356683 2.41129254 2.4587556 ]
13,[2.45875548 2.43924958 2.38356687 2.41129254]
14,[2.38356683 2.4112925  2.45875548 2.4392497 ]
15,[2.38356687 2.41129254 2.45875548 2.43924958]
16,[2.4587556  2.43924958 2.38356683 2.41129254]
17,[2.4392497  2.38356683 2.4112925  2.45875548]
18,[2.4587556  2.41129254 2.38356683 2.43924958]
19,[2.41129254 2.38356687 2.43924958 2.45875548]
20,[2.4392497  2.45875548 2.4112925  2.38356683]
21,[2.43924958 2.45875548 2.41129254 2.38356687]
22,[2.41129254 2.38356683 2.43924958 2.4587556 ]
23,[2.45875548 2.4112925  2.38356683 2.4392497 ]
24,[2.45735302 2.41129254 2.41281679 2.463384  ]
25,[2.41129254 2.41281684 2.463384   2.4573529 ]
26,[2.4112925  2.46338412 2.4573529  2.41281684]
27,[2.463384   2.4573529  2.41129254 2.41281684]
28,[2.41129254 2.463384   2.41281679 2.45735302]
29,[2.4573529  2.41281684 2.4112925  2.46338412]
30,[2.463384   2.41129254 2.41281679 2.45735302]
31,[2.4573529  2.463384   2.41281684 2.41129254]
32,[2.41281684 2.4573529  2.4112925  2.46338412]
33,[2.41281684 2.41129254 2.4573529  2.463384  ]
34,[2.45735302 2.463384   2.41281679 2.41129254]
35,[2.4112925  2.46338412 2.41281684 2.4573529 ]
36,[2.36246123 2.36541927 2.31510186 2.31510197]
37,[2.31510197 2.31510186 2.36246123 2.36541927]
38,[2.31510197 2.3624612  2.36541446 2.31510197]
39,[2.31510197 2.36541927 2.36246123 2.31510186]
40,[2.36541927 2.36246123 2.31510197 2.31510186]
41,[2.31510197 2.31510197 2.36541446 2.3624612 ]
42,[2.34246589 2.309493   2.36246123 2.34246592]
43,[2.36246123 2.34246592 2.34246589 2.309493  ]
44,[2.34246598 2.30948478 2.34246598 2.3624612 ]
45,[2.34246592 2.36246123 2.309493   2.34246589]
46,[2.309493   2.34246589 2.34246592 2.36246123]
47,[2.34246598 2.3624612  2.34246598 2.30948478]
48,[2.34319742 2.3116662  2.36541927 2.34318928]
49,[2.36541927 2.34318928 2.34319742 2.3116662 ]
50,[2.34319222 2.3116661  2.36541446 2.34319222]
51,[2.34318928 2.36541927 2.3116662  2.34319742]
52,[2.3116662  2.34319742 2.34318928 2.36541927]
53,[2.34319222 2.34319222 2.36541446 2.3116661 ]
54,[2.3116662  2.3116662  2.32526426 2.3116661 ]
55,[2.3116662  2.3116661  2.3116662  2.32526426]
56,[2.309493   2.309493   2.30948478 2.32526426]
57,[2.309493   2.30948478 2.32526426 2.309493  ]
