,length
0,[2.46510566 2.70097415 2.53551496 2.38445955 2.45885217 2.429893  ]
1,[2.45911075 2.54595581 2.71501133 2.49207691 2.48529882]
2,[2.429893   2.3911458  2.40806034 2.390568  ]
3,[2.425788   2.36960993 2.38566213 2.35015667]
4,[2.42190394 2.40480098 2.67921004 2.54356409 2.81911079 2.41487409]
5,"[4.05427555 3.84652642 3.84361544 3.6966751  2.39144155 3.76984871
 2.39761697 4.04925277 3.82265955 3.91672934 2.59971439 3.02277584
 2.54595581 4.16226679 4.07057703 3.23727517 3.7336884  3.21851203
 2.39701858 4.02373369 3.18659077]"
6,[2.3859806  2.33777662 2.40303272 2.35446977]
7,[2.33663122 2.35407651 2.45687824 2.39144155]
8,[2.36713805 2.31353204 2.45893574 2.3601282 ]
9,"[2.38326504 4.44672133 3.53950869 3.65099156 3.81506818 3.54800761
 3.7365455  4.55916173 4.55471151 2.7466722  3.10741526 4.55176346
 3.3481586  4.04491447 4.00952532 4.20856791 2.43379457 4.15905158
 2.54356409 4.3033     4.39462077 3.46365783 2.44980682 4.26805815
 4.04802474 3.19397883]"
10,[2.42325557 2.44824682 2.5805119  2.40772754 2.50357376]
11,[2.4439202  2.4962452  2.44341414 2.49454127 2.42495629]
12,"[2.75445863 2.45194353 2.3887139  2.83026248 2.5556983  2.57532659
 2.46892166]"
13,[2.46741309 2.8189333  2.71048353 2.51060058 2.60631484 2.36496912]
14,[2.35446977 2.38931849 2.37828269 2.3996511 ]
15,[2.49465118 2.53276402 2.44900757 2.42496448 2.42325557]
16,[2.38468261 2.36872507 2.34286338 2.77552045 2.40074075]
17,[2.37741747 2.52255864 2.42246808 2.425788   2.61356099]
18,[2.40303272 2.39377588 2.7246518  2.43821048 2.67240141]
19,[2.74694445 2.50357376 2.55336412 2.7466722  2.38931849 2.51094611]
20,[2.46432161 2.54095685 2.59971439 2.38468261 2.65887957]
21,[2.4124421  2.38787641 2.31353204 2.3859806 ]
22,[2.38624394 2.4233654  2.5034665  2.72754908 2.42678648]
23,"[2.4941728  2.38445955 2.55336412 2.38525774 2.44824682 2.82546507
 2.98933629]"
24,[2.61342225 2.44742262 2.54382968 2.43231645 2.38787641]
25,[2.6089111  2.47141474 2.909778   2.39311078 2.45580379 2.46432161]
26,[2.50251687 2.47951606 2.55070261 2.59258483 2.71048353 2.42190394]
27,[2.39788773 2.4859314  2.66347586 2.46095335 2.39323264]
28,"[2.40289772 3.03666018 3.23342361 2.67858706 2.7246518  2.41600018
 2.45615523 2.50251687]"
29,"[2.3695764  4.10523283 4.30374001 3.0112383  2.42496448 3.8968649
 3.89646144 3.33901483 2.40956923 2.62234822 3.23776046 3.45797585
 3.44804944 3.83429364 2.45294412 3.65845726 3.77766963 2.75445863]"
30,"[3.3315158  4.15938708 2.64440718 2.55247705 3.61801777 3.97349902
 3.81830068 2.46095335 3.8818014  3.86658032 4.18076966 3.61128466
 3.06414302 3.49126836 2.48991682 3.74372612 3.9644364  3.8869582
 2.6089111  2.36713805]"
31,[2.44001503 2.43076833 2.42695897 2.41103227 2.69733882]
32,[2.38215252 2.39073824 2.40201647 2.37741747]
33,[2.44599726 2.56901643 2.41512054 2.455332   2.4233654 ]
34,[2.41103227 2.83744859 2.72865425 2.40962236 2.5101488  2.46510566]
35,[2.44980682 2.45893574 2.39549318 2.41211153]
36,[2.49833012 2.38535305 2.40838369 2.62160005]
37,[2.44071466 2.40421709 2.53699108 2.49465118 2.54551412]
38,[2.51947935 2.43507926 2.46909002 2.70132324 2.83744859 2.40136562]
39,[2.36915901 2.5101488  2.40838369 2.36535239 2.70097415]
40,[2.44826792 2.53699108 2.37910124 2.4439202 ]
41,"[2.48529882 2.69569452 2.98102054 2.80514304 3.28621102 3.02277584
 2.4492742  3.2799386  2.4859314  2.61342225]"
42,[2.39323264 2.45885217 2.44890085 2.38215252]
43,[2.54551412 2.49454127 2.40956923 2.35779781 2.45194353]
44,"[4.21640899 3.76808984 2.82546507 2.51094611 4.16489236 3.44174624
 3.57849881 4.09885744 3.5300722  2.44890085 3.91738346 3.16851329
 4.03136781 4.55471151 2.37346195 3.7695341  3.97349902 4.29182717
 3.4824215  4.14271489 3.31581157 4.57770107 2.4116114  3.76451559
 3.91252314]"
45,[2.3824983  2.38566213 2.39301161 2.56032716 2.64440718]
46,[2.46892166 2.45687824 2.53492778 2.69970318 2.69569452 2.40503986]
47,[2.4116114  2.40846146 2.52255864 2.79809844 2.42424399]
48,[2.4589874  2.45615523 2.39301161 2.54395052 2.44341414]
49,[2.45294412 2.5556983  2.40201647 2.33777662 2.41600606]
50,[2.57850678 2.45580379 2.36715407 2.95393257 2.45563479 2.46509744]
51,[2.67240141 2.37519512 2.41600018 2.51060058 2.37786059]
52,"[2.41808451 2.48991682 2.37346195 2.81372588 2.909778   2.7164946
 2.57850678]"
