,angle
0,108.73336653769633
1,108.73314843462748
2,105.36724761676568
3,110.6565049264624
4,111.57070360714552
5,111.57048576237852
6,111.57048576237851
7,111.57070360714553
8,105.36724761676567
9,110.6565049264624
10,108.7331484346275
11,108.73336653769634
12,111.5704857623785
13,108.7331484346275
14,110.65650492646247
15,105.36724761676564
16,111.5707036071455
17,108.73336653769634
18,108.73336653769631
19,111.5707036071455
20,110.65650492646246
21,105.36724761676567
22,108.7331484346275
23,111.5704857623785
24,111.5704857623785
25,111.5707036071455
26,105.36724761676564
27,110.65650492646247
28,108.7331484346275
29,108.73336653769634
30,108.73336653769631
31,108.7331484346275
32,105.36724761676567
33,110.65650492646246
34,111.5707036071455
35,111.5704857623785
36,108.73336653769633
37,111.57070360714552
38,110.6565049264624
39,105.36724761676568
40,108.73314843462748
41,111.57048576237852
42,111.57048576237851
43,108.7331484346275
44,110.6565049264624
45,105.36724761676567
46,111.57070360714553
47,108.73336653769634
48,106.61012807227377
49,106.12641199353884
50,103.3700082991412
51,125.9277599976094
52,106.61012827260546
53,106.12641184856948
54,106.12641184856949
55,106.61012827260546
56,103.3700082991412
57,125.9277599976094
58,106.12641199353882
59,106.61012807227377
60,106.12641184856946
61,106.12641199353881
62,125.9277599976094
63,103.37000829914126
64,106.61012827260546
65,106.61012807227378
66,106.61012807227378
67,106.61012827260546
68,125.92775999760937
69,103.37000829914126
70,106.12641199353882
71,106.12641184856946
72,106.12641184856946
73,106.61012827260546
74,103.37000829914126
75,125.9277599976094
76,106.12641199353881
77,106.61012807227378
78,106.61012807227378
79,106.12641199353882
80,103.37000829914126
81,125.92775999760937
82,106.61012827260546
83,106.12641184856946
84,106.61012807227377
85,106.61012827260546
86,125.9277599976094
87,103.3700082991412
88,106.12641199353884
89,106.12641184856948
90,106.12641184856949
91,106.12641199353882
92,125.9277599976094
93,103.3700082991412
94,106.61012827260546
95,106.61012807227377
96,106.61012822523124
97,106.61012822523124
98,125.92776005242756
99,103.37000816303264
100,106.12641188709057
101,106.12641188709057
102,103.37000816303262
103,106.12641188709057
104,106.61012822523122
105,106.12641188709057
106,106.61012822523122
107,125.92776005242756
108,106.12641188709055
109,103.3700081630327
110,106.61012822523124
111,106.12641188709057
112,125.92776005242753
113,106.61012822523124
114,106.61012822523124
115,125.92776005242753
116,106.61012822523124
117,106.12641188709054
118,103.3700081630327
119,106.12641188709054
120,120.0005001405326
121,106.66494890690448
122,106.66494890690448
123,106.66494890690448
124,106.66494890690448
125,110.00322828555686
126,106.66494890690448
127,106.66494890690448
128,120.0005001405326
129,110.00322828555686
130,106.66494890690448
131,106.66494890690448
132,111.57051317082835
133,110.65650504140793
134,108.7332937259895
135,111.57051317082835
136,105.36734901888123
137,108.7332937259895
138,108.7332937259895
139,111.57051317082835
140,110.65650504140793
141,105.36734901888123
142,108.7332937259895
143,111.57051317082835
144,110.65650504140798
145,111.57051317082833
146,108.7332937259895
147,111.57051317082833
148,108.7332937259895
149,105.3673490188812
150,108.7332937259895
151,110.65650504140798
152,111.57051317082833
153,108.7332937259895
154,105.36734901888121
155,111.57051317082833
156,109.31107808660073
157,109.63096366100626
158,109.31078913924806
159,109.63103683834035
160,109.31107808660072
161,109.63096366100626
162,109.31078913924806
163,109.63096366100626
164,109.31107808660073
165,109.63096366100626
166,109.31107808660072
167,109.63103683834035
168,109.31107808660072
169,109.31078913924804
170,109.63096366100628
171,109.31107808660072
172,109.63103683834036
173,109.63096366100628
174,109.31078913924804
175,109.31107808660072
176,109.63096366100628
177,109.31107808660072
178,109.63096366100628
179,109.63103683834036
180,110.00357744327164
181,106.66524488357402
182,106.66489262620152
183,106.66524488357403
184,106.66489262620154
185,119.99974992973375
186,119.99974992973371
187,106.66524488357403
188,106.66524488357405
189,106.6648926262015
190,106.66489262620152
191,110.0035774432717
192,106.66524488357403
193,106.66524488357405
194,119.99974992973371
195,110.0035774432717
196,106.6648926262015
197,106.66489262620152
198,110.00357744327164
199,106.66489262620152
200,106.66524488357402
201,106.66489262620154
202,106.66524488357403
203,119.99974992973375
204,108.14447989514494
205,107.06056304969367
206,107.06056304969367
207,107.06056304969367
208,107.06056304969367
209,119.99999986677838
210,119.99999986677838
211,107.06056304969368
212,107.06056304969368
213,107.06056304969368
214,107.06056304969368
215,108.14447989514494
216,107.06056292025768
217,107.06056292025768
218,120.00000006661081
219,108.14448000478123
220,107.06056302647735
221,107.06056302647735
222,107.06056302647734
223,107.06056302647734
224,120.00000006661084
225,108.14448000478122
226,107.06056292025768
227,107.06056292025768
228,120.00000006661084
229,107.06056302647734
230,107.06056302647734
231,107.06056292025768
232,107.06056292025768
233,108.14448000478122
234,108.14448000478123
235,107.06056292025767
236,107.06056302647735
237,107.06056292025767
238,107.06056302647735
239,120.00000006661081
