,length
0,[2.34241131 2.38267725 2.37516841 2.37517792]
1,[2.37517612 2.38267874 2.37516841 2.34239364]
2,[2.38267429 2.37517792 2.34241131 2.37516841]
3,[2.38267429 2.37517792 2.37516841 2.34241131]
4,[2.34241131 2.38267725 2.37516841 2.37517792]
5,[2.37517612 2.38267874 2.37516841 2.34239364]
6,[2.37517792 2.37516841 2.38267429 2.34241131]
7,[2.37516841 2.34241131 2.38267725 2.37517792]
8,[2.37517612 2.37516841 2.34239364 2.38267874]
9,[2.34241131 2.37516841 2.37517792 2.38267725]
10,[2.37517612 2.37516841 2.38267874 2.34239364]
11,[2.37517792 2.34241131 2.38267429 2.37516841]
12,[2.37517612 2.37516841 2.34239364 2.38267874]
13,[2.37517792 2.34241131 2.37516841 2.38267429]
14,[2.37516841 2.34241131 2.37517792 2.38267725]
15,[2.37517612 2.37516841 2.34239364 2.38267874]
16,[2.37517792 2.37516841 2.34241131 2.38267429]
17,[2.37516841 2.34241131 2.37517792 2.38267725]
18,[2.38267874 2.34239364 2.37516841 2.37517612]
19,[2.38267874 2.37516841 2.34239364 2.37517612]
20,[2.38267874 2.37516841 2.34239364 2.37517612]
21,[2.38267874 2.34239364 2.37516841 2.37517612]
22,[2.38267874 2.34239364 2.37516841 2.37517612]
23,[2.38267874 2.37516841 2.34239364 2.37517612]
24,"[2.39068442 3.86578584 2.35136829 3.83976834 3.77558661 3.77558306
 3.86578584 2.39068442 3.83976834 3.77558661 3.77558306 2.39068442
 3.86578584 3.83976834 3.77558209 3.77558209]"
25,"[2.39068442 3.86578584 3.77558661 3.77558306 2.35136829 3.83976834
 2.39068442 3.86578584 3.83976834 3.77558661 3.77558306 3.86578584
 2.39068442 3.83976834 3.77558209 3.77558209]"
26,"[3.77558209 3.77558209 3.77558209 3.77558209 3.86578584 2.39068442
 3.77558209 3.77558209 3.86578584 2.39068442 3.86578584 2.39068442
 2.35136829 3.83976834 3.83976834 3.83976834]"
27,"[2.39068442 3.86578584 3.77558661 3.77558306 3.77558661 3.77558306
 2.35136829 3.83976834 3.86578584 2.39068442 3.83976834 2.39068442
 3.86578584 3.83976834 3.77558209 3.77558209]"
28,"[3.83120068 3.83120068 3.83120068 2.35136829 3.83120068 3.83120068
 2.35136829 3.83120068 3.83120068 3.83120068 2.35136829 3.83120068
 3.83120068 3.83120068 2.35136829 3.83120068]"
29,[2.39068442 2.38267725 2.4035117  2.38267874]
30,[2.38267874 2.39068442 2.38267874 2.4035117 ]
31,[2.4035117  2.38267429 2.38267429 2.39068442]
32,[2.38267429 2.4035117  2.38267429 2.39068442]
33,[2.39068442 2.38267725 2.4035117  2.38267874]
34,[2.39068442 2.38267874 2.38267874 2.4035117 ]
35,[2.38267429 2.38267429 2.4035117  2.39068442]
36,[2.38267725 2.4035117  2.39068442 2.38267874]
37,[2.39068442 2.38267725 2.4035117  2.38267874]
38,[2.38267874 2.38267874 2.39068442 2.4035117 ]
39,[2.38267725 2.39068442 2.4035117  2.38267874]
40,[2.38267725 2.4035117  2.39068442 2.38267874]
