,length
0,[2.32968157 2.36236785 2.36236785 2.37909804]
1,[2.37909804 2.36236785 2.36236785 2.32968157]
2,[2.36236785 2.37909804 2.32968157 2.36236785]
3,[2.36236785 2.32968157 2.37909804 2.36236785]
4,[2.37909804 2.36236785 2.36236785 2.32968157]
5,[2.32968157 2.36236785 2.36236785 2.37909804]
6,[2.36236785 2.32968157 2.37909804 2.36236785]
7,[2.36236785 2.37909804 2.32968157 2.36236785]
8,[2.36236785 2.44998174 2.40300612 2.36236786]
9,[2.36236786 2.40300612 2.44998174 2.36236785]
10,[2.40300612 2.36236786 2.36236785 2.44998174]
11,[2.44998174 2.36236785 2.36236786 2.40300612]
12,[2.36236786 2.40300612 2.44998174 2.36236785]
13,[2.36236785 2.44998174 2.40300612 2.36236786]
14,[2.44998174 2.36236785 2.36236786 2.40300612]
15,[2.40300612 2.36236786 2.36236785 2.44998174]
16,[2.44998175 2.36236785 2.36236785 2.40300612]
17,[2.36236785 2.36236785 2.40300612 2.44998175]
18,[2.36236785 2.40300612 2.36236785 2.44998175]
19,[2.44998175 2.36236785 2.40300612 2.36236785]
20,[2.34255182 2.34255182 2.37910311 2.37910311]
21,[2.34255182 2.37910311 2.37910311 2.34255182]
22,[2.36236786 2.37910311 2.36236786 2.32967322]
23,[2.36236786 2.32967322 2.37910311 2.36236786]
24,[2.36236786 2.36236786 2.37910311 2.32967322]
25,[2.36236786 2.32967322 2.36236786 2.37910311]
26,[2.32968157 2.32967322 2.33240869 2.32968157]
27,[2.32968157 2.32968157 2.33240869 2.32967322]
28,[2.32968157 2.32967322 2.32968157 2.33240869]
29,[2.32968157 2.32968157 2.32967322 2.33240869]
30,[2.37909804 2.37909804 2.34255182 2.34256952]
31,[2.34255182 2.34256952 2.37909804 2.37909804]
32,[2.34255182 2.37909804 2.37909804 2.34256952]
33,[2.37909804 2.37909804 2.34256952 2.34255182]
34,[2.40300612 2.40300612 2.47573982 2.47573982]
35,[2.47573982 2.47573982 2.40300612 2.40300612]
36,[2.47573982 2.40300612 2.40300612 2.47573983]
37,[2.47573983 2.40300612 2.40300612 2.47573982]
38,[2.47573983 2.47573982 2.40300612 2.40300612]
39,[2.40300612 2.40300612 2.47573982 2.47573983]
