,length
0,"[3.65083912 3.65083912 2.49509021 3.65083912 4.09360324 3.12028512
 3.65083912 3.12028512 3.65083912 4.09360324 2.49509021 3.65083912
 2.49509021 3.12028512 3.65083912 4.09360324 2.649794   4.09360324
 3.12028512 2.49509021 3.65083912 2.649794  ]"
1,"[3.65083912 3.65083912 3.65083912 3.12028512 3.65083912 4.09360324
 2.49509021 3.65083912 2.49509021 4.09360324 3.65083912 3.12028512
 3.65083912 2.49509021 2.649794   3.12028512 4.09360324 3.65083912
 2.649794   4.09360324 3.12028512 2.49509021]"
