,length
0,[2.34630644 2.40318026 2.37849314 2.40437467]
1,[2.37849314 2.40438364 2.34630644 2.40318026]
2,[2.34630644 2.40318026 2.37849314 2.40437467]
3,[2.37849314 2.40438364 2.34630644 2.40318026]
4,[2.40438364 2.37849314 2.40318026 2.34630644]
5,[2.40318026 2.34630644 2.40437467 2.37849314]
6,[2.40438364 2.37849314 2.40318026 2.34630644]
7,[2.40318026 2.34630644 2.40437467 2.37849314]
8,[2.40437467 2.40424935 2.38297337 2.47828908]
9,[2.40424947 2.38296405 2.40438364 2.47828908]
10,[2.40437467 2.40424935 2.47828908 2.38297337]
11,[2.40424947 2.38296405 2.40438364 2.47828908]
12,[2.38296405 2.40424947 2.47828908 2.40438364]
13,[2.40437467 2.38297337 2.40424935 2.47828908]
14,[2.38296405 2.40424947 2.40438364 2.47828908]
15,[2.40437467 2.38297337 2.47828908 2.40424935]
16,[2.38297337 2.40318026 2.41167858 2.35441627]
17,[2.35441627 2.41167858 2.38296405 2.40318026]
18,[2.38297337 2.40318026 2.35441627 2.41167858]
19,[2.41167858 2.35441627 2.38296405 2.40318026]
20,[2.35441627 2.41167858 2.40318026 2.38296405]
21,[2.40318026 2.38297337 2.35441627 2.41167858]
22,[2.35441627 2.41167858 2.40318026 2.38296405]
23,[2.40318026 2.38297337 2.35441627 2.41167858]
24,[2.37631809 2.40424935 2.37631809 2.40424947]
25,[2.37631809 2.40424935 2.37631809 2.40424947]
26,[2.40424935 2.37631809 2.40424947 2.37631809]
27,[2.40424935 2.37631809 2.40424947 2.37631809]
28,[2.37849314 2.32406514 2.37849314 2.33426056]
29,[2.33426056 2.37849314 2.37849314 2.32406514]
30,[2.37849314 2.37849314 2.32406514 2.33426056]
31,[2.33426056 2.37849314 2.32406514 2.37849314]
32,[2.33426056 2.37631809 2.38527196 2.37631809]
33,[2.37631809 2.37631809 2.33426056 2.38527196]
34,[2.33426056 2.37631809 2.37631809 2.38527196]
35,[2.37631809 2.37631809 2.38527196 2.33426056]
36,[2.34749087 2.35441627 2.35441627 2.33170825]
37,[2.35441627 2.35441627 2.33170825 2.34749087]
38,[2.33170825 2.35441627 2.35441627 2.34749087]
39,[2.34749087 2.33170825 2.35441627 2.35441627]
40,[2.34630644 2.34630644 2.37984507 2.34749087]
41,[2.34749087 2.37984507 2.34630644 2.34630644]
42,[2.34749087 2.34630644 2.34630644 2.37984507]
43,[2.34630644 2.34630644 2.34749087 2.37984507]
44,[2.33170825 2.33170825 2.32406514 2.32406514]
45,[2.32406514 2.32406514 2.33170825 2.33170825]
