,length
0,"[2.43764287 2.92588485 2.67700975 2.44635461 2.38572407 3.014577
 2.59831324 3.19581168]"
1,[2.40307165 2.38792352 2.35987156 2.43806715]
2,[2.37726752 2.38375131 2.36230027 2.40515848]
3,[2.36832327 2.37213489 2.36239992 2.44496268]
4,[2.58289662 2.38868662 2.37381596 2.67700975 2.40458391]
5,[2.35513658 2.46430131 2.39945301 2.3725715 ]
6,[2.43418968 2.51741209 2.43139487 2.42987068]
7,[2.56469029 2.35906827 2.42164339 2.49809548 2.50763456]
8,[2.39668592 2.5439439  2.50015333 2.3641259  2.39086789]
9,[2.62869842 2.6801429  2.42625243 2.57502766 2.50015333 2.3925519 ]
10,[2.32445171 2.3641259  2.3382363  2.3788051 ]
11,[2.92986841 2.36763308 2.44595033 2.40695615 2.51294958 2.42393266]
12,[2.46698249 2.4735555  2.50755997 2.88396275 2.40186149]
13,[2.94327493 2.48314277 2.60414533 2.44731787 2.85990366 2.38184968]
14,[2.43172028 2.44856238 2.37944296 3.10360732 2.35950504 2.65531329]
15,[2.52524934 2.51927153 2.52969082 2.40850888 2.40435501]
16,[2.39549708 2.52668395 2.74524814 2.48906468 2.48675189]
17,"[4.48284697 2.70363108 5.01399007 4.19303158 4.59741748 2.80678761
 3.14401723 5.00758167 3.38959577 4.25612736 2.65531329 4.9912854
 4.20105971 3.30742304 2.66371029 5.0048945  4.63680247 4.27012998
 2.44502686 4.71549687 4.00436749 4.19218752 2.42890777 4.18858564
 4.76452791 4.31742717 3.85131692 3.3068216  4.1481492  3.6317204 ]"
18,[2.37473803 2.4192953  2.32808668 2.34685979]
19,[2.36226151 2.34151563 2.35751678 2.49694805]
20,[2.3925519  2.35663997 2.38726432 2.36354611]
21,[2.47487542 2.32808668 2.40708742 2.46698249]
22,[2.46448985 2.63417045 2.34193161 2.49951959 2.3898302 ]
23,[2.38100186 2.38726432 2.43810047 2.56469029]
24,[2.4166122  2.49951959 2.42256288 2.37726752]
25,[2.50763456 2.48089928 2.44731787 2.51741209 2.38868662]
26,[2.48661335 2.40065283 2.50950552 2.52938818 2.4258392 ]
27,[2.48675189 2.3834849  2.6801429  2.5439439  2.43172028]
28,[2.40435501 2.35466598 2.36552343 2.48661335]
29,[2.45230894 2.5000364  2.44595033 2.46430131 2.87183732 2.62869842]
30,[2.40515848 2.3382363  2.43810047 2.36558519]
31,[2.35125214 2.40708742 2.32919941 2.38100186]
32,[2.34985174 2.42164339 2.35663997 2.35174236]
33,[2.39800557 2.45020068 2.38792352 2.43248467]
34,[2.3644524  2.3545444  2.37339656 2.80599369 2.57204689]
35,[2.46037537 2.46086891 2.3834849  2.5000364  2.55572262]
36,[2.37339656 2.43139487 2.5036374  2.44145706]
37,[2.37752774 2.32919941 2.3342475  2.38292472]
38,[2.35174236 2.37779841 2.54711749 2.48314277 2.43418968]
39,[2.38292472 2.36308313 2.39134999 2.39800557]
40,[2.50837489 2.38439501 2.51088198 2.44856238 2.70363108]
41,[2.34685979 2.34193161 2.34985174 2.36832327]
42,[2.41534123 2.61598059 2.42912014 2.42724634]
43,[2.37381596 2.35019438 2.38760279 2.39549708]
44,[2.49752935 2.4258392  2.42912014 2.5483162  2.55354371]
45,[2.55354371 2.35987156 2.39945301 2.44148597 2.37473803]
46,[2.36239992 2.39134999 2.35906827 2.40252426]
47,[2.3788051  2.35950504 2.38537046 2.37860952]
48,[2.42987068 2.50728551 2.8506711  2.47046481 2.6553301  2.60214247]
49,[2.7374114  2.4106495  2.44126809 3.02251602 2.44635461 2.45230894]
50,[2.88396275 2.63398385 2.39180331 2.54711749 2.94327493 2.455833  ]
51,"[3.74164535 2.43806715 2.82708158 3.49407627 4.09038398 4.26897003
 3.67284131 2.4428912  4.02029677 4.23629911 3.27518772 3.64797528
 2.35019438 4.21214499 4.58963381 3.35914684 4.23659924 3.93641707
 3.49515159 3.68974855 3.44068119 3.62824169 3.7536139  4.43327225
 2.46448985 4.26840089]"
52,[2.3898302  2.74524814 2.60414533 2.39180331 2.32445171]
53,[2.38184968 2.38207619 2.45219464 2.34238964]
54,[2.34855741 2.40695615 2.46086891 2.55288093 2.41268409]
55,[2.42890777 2.36925501 2.35466598 2.37411754]
56,[2.40252426 2.45020068 2.4622249  2.36527582]
57,[2.46030289 2.36552343 2.44512403 2.43048329]
58,[2.49752495 2.34151563 2.35306589 2.49752935]
59,[2.39543314 2.35564909 2.36925501 2.5273962 ]
60,[2.43300886 2.46940935 2.67920829 2.73746724 2.63417045]
61,[2.42724634 2.38439501 2.38514856 2.4735555 ]
62,[2.44496268 2.38375131 2.51927153 2.48089928 2.7374114  2.92588485]
63,[2.37860952 2.36354611 2.35564909 2.3644524 ]
64,[2.42370722 2.44512403 2.3545444  2.34855741]
65,[2.60214247 2.43248467 2.623514   2.55460799 2.51159245 2.59870096]
66,[2.57110373 2.47046481 2.5648505  2.50242316 2.41534123]
67,[2.40994437 2.39662512 2.44943303 2.43540388]
68,[2.35770704 2.41239355 2.4106495  2.40065283]
69,[2.40458391 2.50242316 2.39782618 2.52668395]
70,[2.35484614 2.49472318 2.66371029 2.42256288 2.41305287]
71,[2.6553301  2.45219464 2.39782618 2.46037537 2.4807867 ]
72,[2.51944252 2.48906468 2.38514856 2.67920829 2.44943303 2.63398385]
73,[2.455833   2.38537046 2.38207619 2.38218408]
74,[2.41305287 2.39138758 2.37305663 2.37752774]
75,"[3.215741   2.36527582 2.40850888 3.4358008  3.43114551 2.55460799
 2.89639798 2.8444452  3.07563032 3.4234378  2.43764287]"
76,"[2.87183732 3.25589674 3.65448693 2.51294958 3.68974855 2.44148597
 3.46572722 3.17950537 2.9290047  3.73044785 2.42625243 3.84884899
 3.48913954 3.61545732 2.43300886 3.37792645]"
77,[2.40186149 2.85036041 2.44502686 3.20955311 2.37213489 2.52524934]
78,[2.37411754 2.36230027 2.3342475  2.35770704]
79,"[3.42116656 4.30831234 3.73288835 2.43048329 2.8444452  3.99857491
 3.60707755 4.21026366 3.99335179 3.1253252  2.4024202  3.81169758
 2.72764977 4.73736615 2.39580734 4.08639405 4.00195321 3.84965198
 4.20094631 4.51078453 3.29324555 4.63402765 2.36226151 4.50666371
 4.22103277 3.93134025]"
80,[2.55572262 2.44151091 2.55288093 2.35751678 2.40122667]
81,[2.49809548 2.44145706 2.4622249  2.62010986 2.48497925 2.58289662]
82,"[2.41268409 3.00853651 2.9290047  2.73746724 2.57502766 2.44243726
 2.40994437]"
83,"[2.42393266 3.25455615 3.38287557 2.48497925 3.72148009 2.44224302
 3.31308738 3.17950537 3.80696028 2.46940935 3.59873693 2.923633
 3.7946714  2.82708158 3.66571426 3.33536195]"
84,[2.37824595 2.50755997 2.36308313 2.50728551 2.68417462]
85,[2.5273962  2.57204689 2.49752495 2.50950552 2.57110373]
86,"[3.24408775 2.99153447 2.45190558 3.51405823 3.62824169 4.34070523
 4.09244684 2.51088198 3.47816753 3.49484687 3.96950264 3.62962867
 3.44986596 3.4493672  2.4192953  2.85036041 2.80678761 4.402135
 2.4166122  4.23049179]"
87,[2.38760279 2.38572407 2.42451566 2.39668592]
88,[2.49694805 2.5483162  2.39138758 2.39662512 2.47487542]
89,[2.4807867  2.59870096 2.72764977 2.50837489 2.44151091]
90,[2.51159245 2.44730618 2.61598059 2.4428912  2.45190558]
91,[2.39580734 2.42451566 2.44730618 2.35484614]
92,[2.43540388 2.39543314 2.37779841 2.37824595]
93,[2.39086789 2.3725715  2.49472318 2.35125214]
94,[2.59831324 2.52938818 2.4024202  2.35513658]
95,[2.68417462 2.38218408 2.52969082 2.8506711  2.623514   2.46030289]
96,[2.34238964 2.36558519 2.44126809 2.42370722]
97,[2.35306589 2.5036374  2.5648505  2.44224302 2.51944252]
98,[2.62010986 2.41239355 2.36763308 2.40307165]
99,[2.40122667 2.44243726 2.37305663 2.37944296]
