,length
0,[2.36746402 2.4941456  2.3737172  2.40231399]
1,[2.37267028 2.29765484 2.35107793 2.35461681]
2,[2.38425923 2.45436919 2.5661678  2.43826689]
3,[2.42892951 2.33551828 2.33555571 2.35153664]
4,[2.40231399 2.37739466 2.42055133 2.43348215]
5,[2.46741225 2.35257696 2.35845572 2.49503665]
6,[2.36579959 2.34646363 2.35901884 2.4411655 ]
7,[2.4512066  2.35748633 2.40474672 2.36941279]
8,[2.34815548 2.40700391 2.38462555 2.42861055]
9,[2.3986678  2.4792879  2.39644359 2.33551828]
10,[2.34843732 2.39644359 2.3899357  2.39358797]
11,"[2.45937906 2.96845585 2.3833376  2.8247348  2.99764834 2.36746402
 2.37338944]"
12,[2.33019699 2.35979934 2.4037626  2.40288863]
13,[2.34533594 2.34462622 2.41735135 2.34583029]
14,[2.36493418 2.34580265 2.34778354 2.39985071]
15,[2.4300004  2.44419402 2.40913845]
16,[2.36235515 2.5661678  2.3299319  2.55189341]
17,[2.50416421 2.45436919 2.31355189 2.4107441 ]
18,[2.35845572 2.3735639  2.38859104 2.3675464 ]
19,[2.38106955 2.37697097 2.39054632 2.405339  ]
20,[2.44030862 2.31355189 2.50284047 2.45554019]
21,[2.40288863 2.46343324 2.44452084 2.51585426]
22,[2.39358797 2.51637629 2.29330375 2.37267028]
23,[2.33563751 2.34694267 2.41288196 2.36363178]
24,[2.43348215 2.45306727 2.43534191 2.57443689]
25,[2.53428773 2.39985071 2.41009674 2.40494217]
26,[2.43846988 2.55122301 2.68260295 2.52006461 2.39204892]
27,[2.48809312 2.38240766 2.38735705 2.45593053]
28,"[3.17173131 4.1551178  2.43748246 4.29236224 3.87406576 4.08612563
 3.92846311 2.51585426 3.7383316  4.08399999 2.8247348  4.32076096
 3.3383738  3.56321109 2.40487996 4.22717692 3.4320019  2.38491173
 3.34947585 3.94582613 3.66124303]"
29,[2.38494809 2.34778354 2.39117628 2.39862212]
30,[2.36363178 2.42079051 2.40700391 2.38910053]
31,[2.39182732 2.42573017 2.34417436 2.38566701]
32,[2.4107441  2.3800259  2.42892951 2.35983533]
33,[2.49390026 2.41165563 2.39054632 2.570562   2.42527811]
34,[2.3457694  2.44904782 2.37493747 2.37697097]
