,length
0,[2.36722208 2.36722208 2.38863938 2.39688409]
1,[2.36722208 2.39688409 2.38863938 2.36722208]
2,[2.36722208 2.39688409 2.36722208 2.38863938]
3,[2.36722208 2.38863938 2.36722208 2.39688409]
4,[2.36722208 2.36722208 2.38863938 2.39688409]
5,[2.36722208 2.38863938 2.36722208 2.39688409]
6,[2.38863938 2.36722208 2.39688409 2.36722208]
7,[2.39688409 2.36722208 2.36722208 2.38863938]
8,[2.36722208 2.36722208 2.39688409 2.38863938]
9,[2.39688409 2.36722208 2.38863938 2.36722208]
10,[2.38863938 2.36722208 2.36722208 2.39688409]
11,[2.36722208 2.36722208 2.38863938 2.39688409]
12,[2.36722208 2.36722208 2.38863938 2.39688409]
13,[2.36722208 2.36722208 2.39688409 2.38863938]
14,[2.39688409 2.38863938 2.36722208 2.36722208]
15,[2.36722208 2.38863938 2.36722208 2.39688409]
16,[2.38863938 2.36722208 2.36722208 2.39688409]
17,[2.36722208 2.38863938 2.39688409 2.36722208]
18,[2.39688409 2.36722208 2.36722208 2.38863938]
19,[2.36722208 2.36722208 2.38863938 2.39688409]
20,[2.38863938 2.36722208 2.36722208 2.39688409]
21,[2.36722208 2.36722208 2.39688409 2.38863938]
22,[2.38863938 2.39688409 2.36722208 2.36722208]
23,[2.36722208 2.36722208 2.38863938 2.39688409]
24,[2.38863938 2.38863938 2.38863938 2.38863938]
25,[2.38863938 2.38863938 2.38863938 2.38863938]
26,[2.38863938 2.38863938 2.38863938 2.38863938]
27,[2.38863938 2.38863938 2.38863938 2.38863938]
28,[2.38863938 2.38863938 2.38863938 2.38863938]
29,[2.38863938 2.38863938 2.38863938 2.38863938]
30,"[2.35175142 3.82466379 3.82466379 3.82466379 3.80230789 3.80230789
 3.82180415 2.36722208 3.80230789 3.82180415 2.36722208 3.82180415
 2.36722208 3.75589569 3.75589569 3.75589569]"
31,"[2.36722208 3.82180415 2.36722208 3.82180415 3.80230789 3.75589569
 2.36722208 3.82180415 3.80230789 3.75589569 3.80230789 3.75589569
 2.35175142 3.82466379 3.82466379 3.82466379]"
32,"[2.36722208 3.82180415 3.80230789 2.36722208 3.82180415 3.75589569
 3.80230789 3.82180415 2.36722208 3.75589569 2.35175142 3.82466379
 3.82466379 3.82466379 3.75589569 3.80230789]"
33,"[2.36722208 3.82180415 3.80230789 3.82180415 2.36722208 3.75589569
 3.80230789 2.35175142 3.82466379 3.82466379 3.82466379 2.36722208
 3.82180415 3.75589569 3.75589569 3.80230789]"
34,"[3.80230789 3.82466379 2.35175142 3.82466379 3.82466379 3.82180415
 2.36722208 3.80230789 2.36722208 3.82180415 3.80230789 3.75589569
 3.75589569 3.75589569 2.36722208 3.82180415]"
35,"[3.80230789 2.35175142 3.82466379 3.82466379 3.82466379 2.36722208
 3.82180415 3.80230789 3.82180415 2.36722208 3.80230789 3.75589569
 3.82180415 3.75589569 2.36722208 3.75589569]"
36,"[3.80230789 3.82180415 2.36722208 2.35175142 3.82466379 3.82466379
 3.82466379 3.80230789 2.36722208 3.82180415 3.75589569 3.80230789
 3.82180415 3.75589569 3.75589569 2.36722208]"
37,"[2.36722208 3.82180415 3.80230789 3.75589569 2.36722208 3.82180415
 3.80230789 3.75589569 3.82180415 2.36722208 3.82466379 3.82466379
 2.35175142 3.82466379 3.80230789 3.75589569]"
38,"[2.36722208 3.82180415 3.80230789 3.80230789 2.35175142 3.82466379
 3.82466379 3.82466379 2.36722208 3.82180415 3.75589569 3.82180415
 2.36722208 3.75589569 3.75589569 3.80230789]"
39,"[3.82180415 2.36722208 3.82180415 2.36722208 3.80230789 3.75589569
 3.82180415 2.36722208 3.80230789 3.75589569 3.80230789 3.75589569
 3.82466379 3.82466379 3.82466379 2.35175142]"
40,"[3.80230789 2.36722208 3.82180415 3.82180415 2.36722208 3.75589569
 2.35175142 3.82466379 3.82466379 3.82466379 3.80230789 3.80230789
 3.82180415 3.75589569 2.36722208 3.75589569]"
41,"[2.35175142 3.82466379 3.82466379 3.82466379 3.80230789 3.80230789
 3.82180415 2.36722208 3.80230789 3.82180415 2.36722208 3.82180415
 2.36722208 3.75589569 3.75589569 3.75589569]"
42,"[3.80230789 2.36722208 3.82180415 3.82466379 2.35175142 3.82466379
 3.82466379 3.80230789 3.82180415 2.36722208 3.75589569 3.80230789
 3.75589569 3.75589569 2.36722208 3.82180415]"
43,"[2.36722208 3.82180415 3.80230789 3.75589569 3.82180415 2.36722208
 3.80230789 3.82466379 3.82466379 2.35175142 3.82466379 3.75589569
 2.36722208 3.82180415 3.80230789 3.75589569]"
44,"[3.80230789 3.82180415 2.36722208 2.36722208 3.82180415 3.75589569
 3.82466379 2.35175142 3.82466379 3.82466379 3.80230789 3.80230789
 3.75589569 3.75589569 2.36722208 3.82180415]"
45,"[2.36722208 3.82180415 3.80230789 3.80230789 3.82466379 3.82466379
 2.35175142 3.82466379 3.75589569 2.36722208 3.82180415 3.75589569
 3.82180415 2.36722208 3.80230789 3.75589569]"
