,length
0,[2.40134458 2.41516954 2.44782498 2.34504003]
1,[2.41516954 2.40134458 2.34504003 2.44782498]
2,[2.34504003 2.44782498 2.41516954 2.40134458]
3,[2.44782498 2.34504003 2.40134458 2.41516954]
4,[2.34504003 2.33619505 2.34775144 2.35684198]
5,[2.33619505 2.34504003 2.35684198 2.34775144]
6,[2.35684198 2.34775144 2.33619505 2.34504003]
7,[2.34775144 2.35684198 2.34504003 2.33619505]
8,[2.34775144 2.36284206 2.37784621 2.35790746]
9,[2.36284206 2.34775144 2.35790746 2.37784621]
10,[2.35790746 2.37784621 2.36284206 2.34775144]
11,[2.37784621 2.35790746 2.34775144 2.36284206]
12,[2.35790746 2.35361197 2.38525555 2.38825615]
13,[2.35790746 2.38825615 2.38525555 2.35361197]
14,[2.38825615 2.38525555 2.35361197 2.35790746]
15,[2.35361197 2.38525555 2.38825615 2.35790746]
16,[2.40134458 2.37784621 2.40056087 2.38026959]
17,[2.40056087 2.37784621 2.40134458 2.38026959]
18,[2.38026959 2.40056087 2.37784621 2.40134458]
19,[2.38026959 2.40134458 2.37784621 2.40056087]
20,[2.38654515 2.3714819  2.37734081 2.393214  ]
21,[2.37734081 2.3714819  2.38654515 2.393214  ]
22,[2.393214   2.37734081 2.3714819  2.38654515]
23,[2.393214   2.38654515 2.3714819  2.37734081]
24,[2.35680384 2.35361197 2.37734081 2.35522248]
25,[2.35361197 2.35680384 2.35522248 2.37734081]
26,[2.35522248 2.37734081 2.35361197 2.35680384]
27,[2.37734081 2.35522248 2.35680384 2.35361197]
28,[2.38750294 2.35375018 2.39345305 2.38654515]
29,[2.35375018 2.38750294 2.38654515 2.39345305]
30,[2.38654515 2.39345305 2.35375018 2.38750294]
31,[2.39345305 2.38654515 2.38750294 2.35375018]
32,[2.38026959 2.32776102 2.35375018 2.35680384]
33,[2.38026959 2.35680384 2.35375018 2.32776102]
34,[2.35680384 2.35375018 2.38026959 2.32776102]
35,[2.35375018 2.35680384 2.32776102 2.38026959]
36,[2.37939227 2.34325916 2.3880229  2.41665199]
37,[2.34325916 2.37939227 2.41665199 2.3880229 ]
38,[2.41665199 2.3880229  2.34325916 2.37939227]
39,[2.3880229  2.41665199 2.37939227 2.34325916]
40,[2.34580992 2.34325916 2.35684198 2.36284206]
41,[2.34580992 2.36284206 2.35684198 2.34325916]
42,[2.36284206 2.35684198 2.34325916 2.34580992]
43,[2.34325916 2.35684198 2.36284206 2.34580992]
44,[2.34151596 2.36344685 2.33619505 2.34580992]
45,[2.36344685 2.34151596 2.34580992 2.33619505]
46,[2.34580992 2.33619505 2.36344685 2.34151596]
47,[2.33619505 2.34580992 2.34151596 2.36344685]
48,[2.37721364 2.38259137 2.38525555 2.34151596]
49,[2.38259137 2.37721364 2.34151596 2.38525555]
50,[2.34151596 2.38525555 2.38259137 2.37721364]
51,[2.38525555 2.34151596 2.37721364 2.38259137]
52,[2.41665199 2.38825615 2.38259137 2.37276783]
53,[2.38825615 2.41665199 2.37276783 2.38259137]
54,[2.37276783 2.38259137 2.38825615 2.41665199]
55,[2.38259137 2.37276783 2.41665199 2.38825615]
56,[2.37276783 2.3880229  2.36344685 2.37573165]
57,[2.37276783 2.37573165 2.36344685 2.3880229 ]
58,[2.37573165 2.36344685 2.3880229  2.37276783]
59,[2.3880229  2.36344685 2.37573165 2.37276783]
60,[2.38750294 2.41141816 2.3763522  2.41516954]
61,[2.41141816 2.38750294 2.41516954 2.3763522 ]
62,[2.41516954 2.41141816 2.3763522  2.38750294]
63,[2.41516954 2.38750294 2.3763522  2.41141816]
64,[2.3714819  2.38611874 2.41141816 2.37721364]
65,[2.38611874 2.3714819  2.37721364 2.41141816]
66,[2.37721364 2.41141816 2.38611874 2.3714819 ]
67,[2.41141816 2.37721364 2.3714819  2.38611874]
68,[2.393214   2.39345305 2.3559845  2.39442916]
69,[2.393214   2.39442916 2.3559845  2.39345305]
70,[2.39442916 2.3559845  2.39345305 2.393214  ]
71,[2.39345305 2.3559845  2.39442916 2.393214  ]
72,[2.39442916 2.37469717 2.38611874 2.37939227]
73,[2.37469717 2.39442916 2.37939227 2.38611874]
74,[2.37939227 2.38611874 2.37469717 2.39442916]
75,[2.38611874 2.37939227 2.39442916 2.37469717]
76,[2.35522248 2.37573165 2.37469717 2.3559845 ]
77,[2.37573165 2.35522248 2.3559845  2.37469717]
78,[2.3559845  2.37469717 2.37573165 2.35522248]
79,[2.37469717 2.3559845  2.35522248 2.37573165]
80,[2.44782498 2.44782498 2.40056087 2.40056087]
81,[2.40056087 2.40056087 2.44782498 2.44782498]
