,length
0,[2.35676933 2.36028015 2.36138396 2.37662708]
1,[2.37662708 2.36138396 2.36028015 2.35676933]
2,[2.35676933 2.36028015 2.36138396 2.37662708]
3,[2.37662708 2.36138396 2.36028015 2.35676933]
4,[2.36138396 2.37662708 2.35676933 2.36028015]
5,[2.36028015 2.35676933 2.37662708 2.36138396]
6,[2.36138396 2.37662708 2.35676933 2.36028015]
7,[2.36028015 2.35676933 2.37662708 2.36138396]
8,[2.36028015 2.37662708 2.35676933 2.36138396]
9,[2.36138396 2.35676933 2.37662708 2.36028015]
10,[2.36028015 2.37662708 2.35676933 2.36138396]
11,[2.36138396 2.35676933 2.37662708 2.36028015]
12,[2.35676933 2.36138396 2.36028015 2.37662708]
13,[2.37662708 2.36028015 2.36138396 2.35676933]
14,[2.35676933 2.36138396 2.36028015 2.37662708]
15,[2.37662708 2.36028015 2.36138396 2.35676933]
16,[2.37662708 2.44064491 2.4006572  2.48465206]
17,[2.48465206 2.4006572  2.37662708 2.44064491]
18,[2.44064491 2.37662708 2.4006572  2.48465206]
19,[2.48465206 2.4006572  2.44064491 2.37662708]
20,[2.48465206 2.37662708 2.44064491 2.4006572 ]
21,[2.4006572  2.37662708 2.44064491 2.48465206]
22,[2.48465206 2.44064491 2.37662708 2.4006572 ]
23,[2.4006572  2.44064491 2.37662708 2.48465206]
24,[2.4006572  2.44064491 2.37662708 2.48465206]
25,[2.44064491 2.37662708 2.48465206 2.4006572 ]
26,[2.4006572  2.37662708 2.44064491 2.48465206]
27,[2.37662708 2.44064491 2.48465206 2.4006572 ]
28,[2.44064491 2.37662708 2.4006572  2.48465206]
29,[2.4006572  2.48465206 2.44064491 2.37662708]
30,[2.37662708 2.44064491 2.4006572  2.48465206]
31,[2.4006572  2.48465206 2.37662708 2.44064491]
32,[2.38499639 2.35623058 2.44064491 2.37410446]
33,[2.44064491 2.37410446 2.35623058 2.38499639]
34,[2.38499639 2.35623058 2.37410446 2.44064491]
35,[2.37410446 2.44064491 2.35623058 2.38499639]
36,[2.44064491 2.37410446 2.38499639 2.35623058]
37,[2.35623058 2.38499639 2.44064491 2.37410446]
38,[2.37410446 2.44064491 2.38499639 2.35623058]
39,[2.35623058 2.38499639 2.37410446 2.44064491]
40,[2.35623058 2.37410446 2.44064491 2.38499639]
41,[2.38499639 2.37410446 2.44064491 2.35623058]
42,[2.35623058 2.44064491 2.37410446 2.38499639]
43,[2.38499639 2.44064491 2.37410446 2.35623058]
44,[2.38499639 2.35623058 2.37410446 2.44064491]
45,[2.37410446 2.44064491 2.35623058 2.38499639]
46,[2.38499639 2.35623058 2.44064491 2.37410446]
47,[2.44064491 2.37410446 2.35623058 2.38499639]
48,[2.31352497 2.38806843 2.35623058 2.37410446]
49,[2.37410446 2.35623058 2.31352497 2.38806843]
50,[2.31352497 2.38806843 2.35623058 2.37410446]
51,[2.37410446 2.35623058 2.31352497 2.38806843]
52,[2.35623058 2.37410446 2.31352497 2.38806843]
53,[2.31352497 2.38806843 2.37410446 2.35623058]
54,[2.35623058 2.37410446 2.31352497 2.38806843]
55,[2.31352497 2.38806843 2.37410446 2.35623058]
56,[2.31352497 2.37410446 2.38806843 2.35623058]
57,[2.35623058 2.37410446 2.38806843 2.31352497]
58,[2.31352497 2.37410446 2.38806843 2.35623058]
59,[2.35623058 2.37410446 2.31352497 2.38806843]
60,[2.35623058 2.31352497 2.38806843 2.37410446]
61,[2.37410446 2.31352497 2.35623058 2.38806843]
62,[2.35623058 2.31352497 2.38806843 2.37410446]
63,[2.37410446 2.31352497 2.35623058 2.38806843]
64,[2.33206307 2.35582501 2.35676933 2.35676933]
65,[2.35676933 2.35676933 2.33206307 2.35582501]
66,[2.35582501 2.33206307 2.35676933 2.35676933]
