,length
0,[2.36889688 2.36889688 2.35163506 2.41513677]
1,[2.36889688 2.36889688 2.41513677 2.35163506]
2,[2.35163506 2.36889688 2.41513677 2.36889688]
3,[2.35163506 2.36889688 2.36889688 2.41513677]
4,[2.35163506 2.36889688 2.41513677 2.36889688]
5,[2.41513677 2.36889688 2.36889688 2.35163506]
6,[2.36889688 2.35163506 2.41513677 2.36889688]
7,[2.36889688 2.41513677 2.35163506 2.36889688]
8,[2.36889688 2.35163506 2.36889688 2.41513677]
9,[2.36889688 2.41513677 2.35163506 2.36889688]
10,[2.35163506 2.36889688 2.41513677 2.36889688]
11,[2.36889688 2.41513677 2.36889688 2.35163506]
12,"[2.37302469 3.8023751  3.8023751  3.8023751  2.37302469 3.8023751
 3.8023751  3.8023751  2.37302469 3.8023751  3.8023751  3.8023751
 2.37302469 3.8023751  3.8023751  3.8023751 ]"
13,[2.35163506 2.35163506 2.35163506 2.37302469]
14,[2.35163506 2.37302469 2.35163506 2.35163506]
15,[2.35163506 2.37302469 2.35163506 2.35163506]
16,[2.35163506 2.37302469 2.35163506 2.35163506]
17,[2.36889688 2.36889688 2.36889688 2.36889688]
18,[2.36889688 2.36889688 2.36889688 2.36889688]
19,[2.36889688 2.36889688 2.36889688 2.36889688]
20,[2.36889688 2.36889688 2.36889688 2.36889688]
21,[2.36889688 2.36889688 2.36889688 2.36889688]
22,[2.36889688 2.36889688 2.36889688 2.36889688]
