,length
0,"[3.98884671 3.98884671 3.98884671 2.81603248 3.92270736 3.92271274
 3.92270736 3.92270736 3.92271274 3.92270736 3.98883628 3.98884142
 3.98884142 2.81603248 3.92271274 3.92270736 3.92270736 3.98883628
 3.98884142 3.98884142 2.81603248 3.98883628 3.98884142 3.98884142
 2.81603248 3.92271598 3.92271598 3.92271598]"
1,"[3.92271598 3.92271598 3.92271598 3.98884142 3.98884142 3.98883628
 2.81603248 3.98884142 3.98884142 3.98883628 2.81603248 3.92271274
 3.92270736 3.92270736 3.98884142 3.98884142 3.98883628 2.81603248
 3.92270736 3.92270736 3.92271274 3.92270736 3.92270736 3.92271274
 3.98884671 3.98884671 3.98884671 2.81603248]"
2,"[2.31526881 2.31526881 3.34626689 3.34626689 2.31526881 3.34626689
 3.34626689 3.34626689 3.34626689 2.81603248]"
3,"[2.3152612  3.34626603 3.34626984 3.34626603 3.34626984 2.81603248
 2.31527004 2.31527004 3.34625972 3.34625972]"
4,"[2.3152612  3.34626603 3.34626984 2.31527004 3.34626603 3.34626984
 2.81603248 2.31527004 3.34625972 3.34625972]"
5,"[2.3152612  3.34626603 3.34626984 2.31527004 3.34626603 3.34626984
 2.31527004 2.81603248 3.34625972 3.34625972]"
6,"[3.34625972 3.34625972 2.31527004 2.81603248 3.34626603 3.34626984
 2.31527004 3.34626603 3.34626984 2.3152612 ]"
7,"[3.34625972 3.34625972 2.81603248 2.31527004 3.34626603 3.34626984
 2.31527004 3.34626603 3.34626984 2.3152612 ]"
8,"[3.34625972 3.34625972 2.31527004 2.31527004 2.81603248 3.34626603
 3.34626984 3.34626603 3.34626984 2.3152612 ]"
9,"[2.81603248 3.34626689 3.34626689 3.34626689 3.34626689 2.31526881
 3.34626689 3.34626689 2.31526881 2.31526881]"
10,[2.33905228 2.33905228 2.44486714 2.3152612 ]
11,[2.33904085 2.31527004 2.33905889 2.44486714]
12,[2.44486714 2.33905889 2.31526881 2.33905889]
13,[2.44486714 2.33905889 2.33905889 2.31526881]
14,[2.33904085 2.31527004 2.44486714 2.33905889]
15,[2.33904085 2.33905889 2.44486714 2.31527004]
16,[2.33904085 2.33905889 2.31527004 2.44486714]
17,[2.33905228 2.44486714 2.33905228 2.3152612 ]
18,[2.44486714 2.33905228 2.33905228 2.3152612 ]
19,[2.33905889 2.31527004 2.44486714 2.33904085]
20,[2.31527004 2.33905889 2.44486714 2.33904085]
21,[2.33905889 2.31526881 2.33905889 2.44486714]
22,[2.33905889 2.44486714 2.31527004 2.33904085]
23,[2.33905889 2.44486714 2.31527004 2.33904085]
24,[2.31526881 2.33905889 2.33905889 2.44486714]
25,[2.33904085 2.44486714 2.31527004 2.33905889]
26,[2.33904085 2.44486714 2.33905889 2.31527004]
27,[2.31526881 2.44486714 2.33905889 2.33905889]
28,[2.3152612  2.33905228 2.33905228 2.44486714]
29,[2.3152612  2.33905228 2.33905228 2.44486714]
30,[2.3152612  2.33905228 2.33905228 2.44486714]
31,[2.31527004 2.33905889 2.44486714 2.33904085]
32,[2.31527004 2.33905889 2.44486714 2.33904085]
33,[2.33905889 2.33905889 2.31526881 2.44486714]
