,length
0,[1.9410438  2.23126515 2.23126515 1.9410438  1.99043394 1.99043394]
1,[2.23126098 1.94103963 1.94103963 1.99043394 2.23126098 1.99043394]
2,[2.08615239 2.08615239 2.08615239 1.97656332 2.08615239 1.97656332]
3,[2.08615239 2.08615239 2.08615239 1.97656332 2.08615239 1.97656332]
