,length
0,[2.13859185 2.13944233 2.11707029 2.11707369 2.13944233 2.13859185]
1,[2.11697815 2.13914983 2.1389325  2.1389325  2.13914983 2.11697815]
2,[2.14006004 2.13840011 2.11728769 2.11728769 2.13840011 2.14006004]
3,[2.11722278 2.13795057 2.14067885 2.14067885 2.13794394 2.11722278]
