,length
0,"[1.97841062 3.50118796 3.36943468 3.03847979 3.87873853 3.03847979
 3.77174776 3.5011833  1.97841081 3.36943468 3.5011833  1.97841081
 3.36943468 2.48549279 3.77174776 3.76287514 2.908204   3.03847979
 3.03847979 3.87873853 2.908204   3.76287514 3.50118796 3.36943468
 2.48549279 1.97841062]"
1,"[3.03847979 2.48549721 3.50118829 1.97841081 3.36943468 1.97841489
 3.36943468 3.50118829 3.03847979 3.03847979 3.87873788 3.50118829
 3.76287514 3.36943468 3.77174261 1.97841489 2.908204   1.97841081
 3.36943468 3.77174261 3.50118829 2.48549721 3.76287514 3.87873788
 2.908204   3.03847979]"
