,length
0,[2.19423164 2.24777737 2.23100111 2.24748958 2.24796969 2.19913438]
1,[2.19984958 2.2487507  2.24783386 2.23023695 2.24784505 2.19377131]
2,[2.19356941 2.24896043 2.2315988  2.24707121 2.24701563 2.19993902]
3,[2.19992741 2.24671091 2.24704222 2.23157774 2.24924533 2.19360196]
