,length
0,[1.97473872 1.98334602 2.19424427 1.97055075 1.90234558]
1,[2.40065633 2.00295362 1.99571651 1.94657904 2.59187752 1.99700491]
2,[1.86975556 2.24998158 2.16117934 2.1518304  2.25746278 1.86762661]
3,[1.86975556 2.16117934 2.24998158 2.25746278 2.1518304  1.86762661]
4,[1.99571651 2.00295362 2.40065633 2.59187752 1.94657904 1.99700491]
5,[2.19424455 1.97473886 1.98335287 1.90234557 1.97054393]
6,[2.24998158 2.16117934 1.86975556 1.86762661 2.1518304  2.25746278]
7,[1.94657904 2.59187752 2.40065633 1.99571651 2.00295362 1.99700491]
8,[1.98334602 1.97473872 2.19424427 1.97055075 1.90234558]
9,[2.19424455 1.98335287 1.97473886 1.90234557 1.97054393]
10,[2.16117934 2.24998158 1.86975556 1.86762661 2.25746278 2.1518304 ]
11,[2.59187752 1.94657904 1.99571651 2.00295362 2.40065633 1.99700491]
