,length
0,"[1.95293598 3.81605147 3.15296261 3.881155   3.46516659 3.82462788
 3.15821597 2.3192041  1.9668077  3.60860143 3.82548037 3.47125966
 2.90858484 3.83473945 3.47724745 3.87380659 2.32853724 3.61570949
 3.16710167 1.96576817 2.9079443  3.82268822 3.44764709 3.81683961
 3.15266597 1.96193499]"
1,"[3.88115664 3.46529805 1.95296541 3.81600767 3.15285968 1.96579617
 2.9079662  3.82275056 2.32859568 3.61572867 3.16710167 3.83469
 3.47743411 3.87379816 2.90855413 3.82555665 3.47106116 1.96675327
 3.60854798 2.31914385 3.82457405 3.15821597 3.81688162 1.96192902
 3.15274486 3.44755507]"
2,"[1.9525445  3.81605448 3.15266597 3.4648224  3.88107695 3.83506089
 3.87397268 3.47766194 2.90855413 2.32864901 3.6161548  1.96617
 3.82285685 3.16745228 3.82463349 1.9663763  3.60813237 2.31925255
 3.15803573 3.47098992 2.9079662  3.82498056 3.4473023  1.96223863
 3.81689156 3.15296261]"
3,"[3.46471272 3.88106462 3.15274486 1.95249053 3.81609026 3.47112438
 3.8249405  2.9079443  3.82472075 3.60819293 2.31932539 3.15803573
 1.96634192 3.61607713 1.96621022 3.82280453 2.32856933 3.16745228
 2.90858484 3.83513344 3.8740344  3.47748414 3.81680537 3.15285968
 1.96227399 3.44742027]"
