,length
0,"[1.92131312 1.92131312 2.78002    1.92131312 2.78002    1.92131312
 2.78002    2.78002   ]"
1,"[1.96627366 4.43540647 3.93154199 4.35587861 3.42142595 4.35587861
 3.93154199 4.43540647 1.96627366 3.42142595 4.43540647 1.96627366
 3.93154199 2.78002    4.35587861 3.42142595 3.602581   4.35587861
 3.93154199 2.78002    1.96627366 4.43540647 3.42142595 3.602581  ]"
2,"[1.96627366 4.43540647 3.93154199 4.35587861 4.43540647 1.96627366
 3.93154199 2.78002    4.35587861 3.42142595 4.35587861 3.93154199
 1.96627366 4.43540647 3.42142595 3.42142595 3.602581   4.35587861
 3.93154199 2.78002    4.43540647 1.96627366 3.42142595 3.602581  ]"
