,length
0,[2.06391577 2.09167852 2.15038689 2.06391577 2.15038689 2.09167852]
1,[2.06391577 2.15038689 2.09167852 2.06391577 2.09167852 2.15038689]
2,[2.15038689 2.09167852 2.06391577 2.09167852 2.15038689 2.06391577]
3,[2.09167852 2.15038689 2.06391577 2.15038689 2.09167852 2.06391577]
4,[2.12702905 2.12702905 2.12702905 2.06888019 2.06888019 2.12702905]
5,[2.12702905 2.12702905 2.06888019 2.12702905 2.12702905 2.06888019]
