,length
0,[1.94636887 2.2504768  2.2504768  1.97986667 1.97986667 1.94636887]
1,[2.250481   1.94637306 1.94637306 2.250481   1.97986667 1.97986667]
2,[1.94636887 2.2504768  2.2504768  1.97986667 1.97986667 1.94636887]
3,[2.250481   1.94637306 1.94637306 2.250481   1.97986667 1.97986667]
