,length
0,[2.13274665 2.14231371 2.13008727 2.13098421 2.14060841 2.1318328 ]
1,[2.13093018 2.13898261 2.13591213 2.13779743 2.13705999 2.1323395 ]
2,[2.13541024 2.13826375 2.13084717 2.13015966 2.13661288 2.13601719]
3,[2.12842116 2.13692236 2.13915763 2.13766327 2.13846152 2.12689308]
