,length
0,[1.93300321 1.99126377 1.9820975  1.92524385]
1,[1.99126377 1.93300321 1.92524385 1.9820975 ]
2,[1.92524385 1.9820975  1.99126377 1.93300321]
3,[1.9820975  1.92524385 1.93300321 1.99126377]
4,[1.92524385 1.9820975  1.99126377 1.93300321]
5,[1.9820975  1.92524385 1.93300321 1.99126377]
6,[1.93300321 1.99126377 1.9820975  1.92524385]
7,[1.99126377 1.93300321 1.92524385 1.9820975 ]
