,length
0,"[1.82394679 4.49197398 4.11333707 4.24366703 4.1097513  1.85620578
 2.70596724 4.49436725 3.4369245  4.24187447 4.24187447 4.1097513
 1.85620578 3.4369245  4.24366703 2.70596724 4.49436725 1.82394679
 4.49197398 4.11333707 3.76175408 3.96975496 4.30381861 3.95657829
 4.49436725 4.32778502 4.32778502 3.95657829 4.49436725 3.96975496
 3.42315792 4.30381861]"
1,[1.73272682 1.73272682]
2,"[3.95391589 4.28957684 3.96439867 4.49436725 4.31362238 4.31362238
 3.96439867 4.49436725 3.95391589 3.42315792 4.28957684 4.10252246
 1.85332753 4.22773729 1.83469135 4.47854324 4.12172937 4.49436725
 2.70596724 3.45643468 4.24805842 4.24805842 1.83469135 4.47854324
 4.12172937 3.45643468 4.22773729 4.49436725 2.70596724 4.10252246
 3.76175408 1.85332753]"
