,length
0,"[2.53848892 2.09240465 2.0920766  2.53832406 2.09201707 2.53874948
 2.53830613 2.09216655]"
1,"[2.15900964 2.42440634 2.42400571 2.15907716 2.42371143 2.15909179
 2.15913724 2.42312902]"
2,"[2.24041479 2.32351095 2.3231839  2.24070255 2.32377446 2.24063785
 2.24089938 2.32373251]"
3,"[2.24068409 2.32335883 2.32398377 2.24060319 2.32334298 2.24067398
 2.24082837 2.32345872]"
