,length
0,[1.91230486 1.91720854 1.91230486 2.46038548 2.45702094 1.91720854]
1,[1.92760606 1.89596926 1.92760606 2.46827172 1.89596926 2.49162204]
2,[1.92760606 1.89596926 2.49162204 1.92760606 2.46827172 1.89596926]
3,[1.91720854 1.91230486 2.45702094 1.91720854 1.91230486 2.46038548]
4,[1.91728041 1.91094844 1.91728041 1.91094844 2.45261174 2.4326372 ]
5,[1.91728041 1.91094844 2.4326372  1.91728041 1.91094844 2.45261174]
