,length
0,[2.10350023 2.10350023 2.10350023 2.10349569 2.10349569 2.10350023]
1,[2.10350023 2.10350023 2.10349569 2.10350023 2.10350023 2.10349569]
2,"[2.08636899 2.06783157 2.08636899 2.06783146 2.08636885 2.06783157
 2.83686354]"
3,"[2.06783157 2.08636899 2.06783157 2.08636885 2.06783146 2.83686354
 2.08636899]"
4,"[2.06783157 2.08636899 2.08636885 2.06783157 2.08636899 2.06783146
 2.83686354]"
5,"[2.08636899 2.06783157 2.06783146 2.08636899 2.06783157 2.83686354
 2.08636885]"
