,angle
0,81.26643405247032
1,48.7602278528205
2,81.26643947298176
3,98.7335659475297
4,98.73356052701828
5,180.0
6,131.2397721471795
7,48.7602278528205
8,81.26643947298176
9,180.0
10,98.73356052701828
11,98.7335659475297
12,131.2397721471795
13,48.76023487598191
14,131.23977214717954
15,131.23976512401816
16,131.23977214717954
17,180.0
18,98.73356052701827
19,180.0
20,98.73356052701827
21,131.2397651240181
22,81.26643947298169
23,81.26643405247027
24,48.76022785282049
25,81.26643947298169
26,48.76023487598184
27,48.76022785282049
28,97.01904872516046
29,97.01905452626158
30,90.93188624773467
31,167.9640353043246
32,90.93189051111548
33,120.12337008702391
34,97.01904872516046
35,90.93189308442167
36,90.93189308442167
37,167.96403775381782
38,120.12337920510286
39,167.9640353043246
40,90.93188624773467
41,90.93189051111548
42,120.12337008702391
43,79.8774975077631
44,79.87749258605726
45,47.840665217300554
46,79.87749258605726
47,47.840665217300554
48,47.840658548714956
49,79.87749258605724
50,47.84066521730055
51,79.87749750776304
52,90.93188624773464
53,167.96403530432445
54,90.93189308442166
55,47.84065854871498
56,79.87749258605724
57,90.93189051111545
58,90.93189051111545
59,167.96403775381776
60,47.84066521730055
61,120.1233700870239
62,120.1233700870239
63,120.12337920510281
64,167.96403530432445
65,90.93188624773464
66,90.93189308442166
67,97.01905452626164
68,97.01904872516049
69,97.01904872516049
