,energy,energy_per_atom,volume,formation_energy_per_atom,nsites,unit_cell_formula,pretty_formula,is_hubbard,elements,nelements,e_above_hull,hubbards,is_compatible,spacegroup,task_ids,band_gap,density,total_magnetization,material_id,oxide_type,tags,elasticity
0,-99.88006629,-7.134290449285714,149.21782459565543,-1.9397242371428567,14,"{'Cr': 4.0, 'Cu': 2.0, 'O': 8.0}",Cr2CuO4,True,"['Cr', 'Cu', 'O']",3,0.03280588785713512,"{'Cr': 3.7, 'Cu': 0.0, 'O': 0.0}",True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'I4_1md', 'number': 109, 'point_group': '4mm', 'crystal_system': 'tetragonal', 'hall': 'I 4bw -2'}","['mp-1287045', 'mp-1283513']",0.0985999999999998,5.153194563160499,0.00159595,mp-1283513,oxide,[],
1,-99.90228716,-7.135877654285714,149.95724218685672,-1.9413114421428566,14,"{'Cr': 4.0, 'Cu': 2.0, 'O': 8.0}",Cr2CuO4,True,"['Cr', 'Cu', 'O']",3,0.03121868285713525,"{'Cr': 3.7, 'Cu': 0.0, 'O': 0.0}",True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Imma', 'number': 74, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': '-I 2b 2'}","['mp-1272781', 'mp-1281747', 'mp-1284120', 'mp-1299165']",0.0,5.127784902010984,1.00025295,mp-1272781,oxide,[],
2,-100.02542875,-7.144673482142857,150.90056616324733,-1.9501072699999997,14,"{'Cr': 4.0, 'Cu': 2.0, 'O': 8.0}",Cr2CuO4,True,"['Cr', 'Cu', 'O']",3,0.022422854999991415,"{'Cr': 3.7, 'Cu': 0.0, 'O': 0.0}",True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fd-3m', 'number': 227, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': 'F 4d 2 3 -1d'}","['mp-906631', 'mp-921333', 'mp-920308', 'mp-835853', 'mp-835106', 'mp-1272449', 'mp-1273210', 'mp-1282540', 'mp-510665', 'mp-1281488', 'mp-504573', 'mp-510664', 'mp-606859', 'mp-1297122', 'mp-1293884', 'mp-1281114', 'mp-1285574', 'mp-1276701', 'mp-1274504', 'mp-1287876', 'mp-1281210', 'mp-1290119', 'mp-1280218', 'mp-1299204', 'mp-1432598', 'mp-1608504', 'mp-1700565']",0.0,5.095729605156711,5.00168365,mp-504573,oxide,['Copper(II) dichromium(III) oxide'],
3,-100.01147568,-7.143676834285714,150.51427845089722,-1.949110622142857,14,"{'Cr': 4.0, 'Cu': 2.0, 'O': 8.0}",Cr2CuO4,True,"['Cr', 'Cu', 'O']",3,0.023419502857134233,"{'Cr': 3.7, 'Cu': 0.0, 'O': 0.0}",True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'I4_1/amd', 'number': 141, 'point_group': '4/mmm', 'crystal_system': 'tetragonal', 'hall': 'I 4bw 2bw -1bw'}","['mp-1103973', 'mp-1104154', 'mp-1104999', 'mp-1105002', 'mp-1181763', 'mp-1272181', 'mp-1274772', 'mp-1299261', 'mp-1291528', 'mp-1294874', 'mp-1293820', 'mp-1285146', 'mp-1276455', 'mp-1284310', 'mp-1274414', 'mp-1280042', 'mp-1296748', 'mp-1281206', 'mp-1284596', 'mp-1289106', 'mp-1288061', 'mp-1300514', 'mp-1601092', 'mp-1656433', 'mp-1672789']",0.0,5.108807551994644,5.00040155,mp-1103973,oxide,"['Spinel-(Cu,Cr)', 'Copper dichromium oxide', 'Copper dichromate(III)', 'Copper(II) dichromium(III) oxide']",
