,energy,energy_per_atom,volume,formation_energy_per_atom,nsites,unit_cell_formula,pretty_formula,is_hubbard,elements,nelements,e_above_hull,hubbards,is_compatible,spacegroup,task_ids,band_gap,density,total_magnetization,material_id,oxide_type,tags,elasticity
0,-31.42682858,-7.856707145,45.386638186518894,-1.9934462509325854,4,"{'Mn': 2.0, 'O': 2.0}",MnO,True,"['Mn', 'O']",2,0.0,"{'Mn': 3.9, 'O': 0.0}",True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': '-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}","['mp-714882', 'mp-578625', 'mp-19006', 'mp-1141044', 'mp-1232487', 'mp-1232510', 'mp-1232555', 'mp-1232677', 'mp-1232703', 'mp-1232846', 'mp-1232859', 'mp-578621', 'mp-1278103', 'mp-1285891', 'mp-1293698', 'mp-1284966', 'mp-1280866', 'mp-1274270', 'mp-1280973', 'mp-1281116', 'mp-1282350', 'mp-1289016', 'mp-1276800', 'mp-1288031', 'mp-1440818', 'mp-1592203', 'mp-1597093', 'mp-1658387', 'mp-1672806']",0.19930000000000003,5.1907082530856865,0.0,mp-19006,oxide,"['Manganese oxide', 'Manganosite']","{'G_Reuss': 63.0, 'G_VRH': 65.0, 'G_Voigt': 66.0, 'G_Voigt_Reuss_Hill': 65.0, 'K_Reuss': 143.0, 'K_VRH': 143.0, 'K_Voigt': 143.0, 'K_Voigt_Reuss_Hill': 143.0, 'elastic_anisotropy': 0.23, 'elastic_tensor': [[209.0, 110.0, 110.0, 0.0, 0.0, 0.0], [110.0, 209.0, 110.0, 0.0, 0.0, 0.0], [110.0, 110.0, 209.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 77.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 77.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 77.0]], 'homogeneous_poisson': 0.3, 'poisson_ratio': 0.3, 'universal_anisotropy': 0.23, 'elastic_tensor_original': [[209.12184017320686, 109.52645480497203, 109.52645480497203, 0.0, 0.0, 0.0], [109.52303627188283, 209.3392121315629, 109.52303627188283, 0.0, 0.0, 0.0], [109.52781029357756, 109.52781029357756, 209.12297854309023, 0.0, 0.0, 0.0], [0.0005999314579895147, 0.0007298530180660132, 0.0005975031244168972, 77.21727106246773, 0.0, 0.0], [0.0004732643428728068, 0.0007311424239957591, 0.00039743757868052656, 0.0, 77.2171002023994, 0.0], [0.0010511997687513539, 0.0009531183733043457, 0.0008367450690362552, 0.0, 0.0, 77.21681235486676]], 'compliance_tensor': [[7.5, -2.6, -2.6, -0.0, 0.0, -0.0], [-2.6, 7.5, -2.6, -0.0, -0.0, 0.0], [-2.6, -2.6, 7.5, 0.0, -0.0, -0.0], [-0.0, -0.0, 0.0, 13.0, -0.0, -0.0], [0.0, -0.0, -0.0, -0.0, 13.0, -0.0], [-0.0, 0.0, -0.0, -0.0, -0.0, 13.0]], 'warnings': [], 'nsites': 4}"
1,-62.83179579,-7.85397447375,91.1118566794459,-1.9907135796825859,8,"{'Mn': 4.0, 'O': 4.0}",MnO,True,"['Mn', 'O']",2,0.002732671249999541,"{'Mn': 3.9, 'O': 0.0}",True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pmmn', 'number': 59, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': 'P 2 2ab -1ab'}","['mp-1232659', 'mp-1286320', 'mp-1281224']",1.2988,5.171419088592112,5e-08,mp-1281224,oxide,[],
2,-62.81203113,-7.85150389125,111.64163856787277,-1.9882429971825868,8,"{'Mn': 4.0, 'O': 4.0}",MnO,True,"['Mn', 'O']",2,0.0052032537499986375,"{'Mn': 3.9, 'O': 0.0}",True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P6_3mc', 'number': 186, 'point_group': 'mm2', 'crystal_system': 'hexagonal', 'hall': 'P 6c -2c'}","['mp-999559', 'mp-999551', 'mp-999539', 'mp-999548', 'mp-1065365', 'mp-1065418', 'mp-1065430', 'mp-1065395', 'mp-1272102', 'mp-1271965', 'mp-1271733', 'mp-1272056', 'mp-1271799', 'mp-1271857', 'mp-1272215', 'mp-1297113', 'mp-1298244', 'mp-1287165', 'mp-1297474', 'mp-1296793', 'mp-1441478', 'mp-1594245', 'mp-1677635']",0.0,4.220446787357943,3.25e-07,mp-999539,oxide,['Manganese oxide (1/1)'],"{'G_Reuss': 29.0, 'G_VRH': 30.0, 'G_Voigt': 32.0, 'G_Voigt_Reuss_Hill': 30.0, 'K_Reuss': 86.0, 'K_VRH': 87.0, 'K_Voigt': 87.0, 'K_Voigt_Reuss_Hill': 87.0, 'elastic_anisotropy': 0.5, 'elastic_tensor': [[129.0, 87.0, 54.0, 0.0, 0.0, 0.0], [87.0, 129.0, 54.0, 0.0, 0.0, 0.0], [54.0, 54.0, 136.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 36.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 36.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 21.0]], 'homogeneous_poisson': 0.34, 'poisson_ratio': 0.34, 'universal_anisotropy': 0.5, 'elastic_tensor_original': [[129.33010831409163, 89.48693096024745, 54.37082930728724, 0.0, 0.0, -2.960077335797152e-05], [82.31038269284046, 130.48450228255825, 50.45270817350964, 0.0, 0.0, -4.3000256345763886e-05], [56.84129232049604, 52.957855855942846, 136.28524868125774, 0.0, 0.0, -1.7599943188680023e-05], [0.0, 0.0, 0.0, 35.900585613531575, -1.1899999539324292e-05, 0.0], [0.0, 0.0, 0.0, 0.0, 35.24656740477955, 0.0], [-6.8846110853831685e-06, 0.0, 0.0, 0.0, 0.0, 20.375057369578474]], 'compliance_tensor': [[14.7, -8.9, -2.3, 0.0, 0.0, 0.0], [-8.9, 14.7, -2.3, 0.0, 0.0, 0.0], [-2.3, -2.3, 9.1, 0.0, 0.0, -0.0], [0.0, 0.0, 0.0, 28.1, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 28.1, 0.0], [0.0, 0.0, -0.0, 0.0, 0.0, 47.2]], 'warnings': [], 'nsites': 8}"
