,length
0,[2.06938464 2.09084057 2.09057609 2.09057609 2.09084057 2.06938464]
1,[2.0870391  2.08727146 2.0694259  2.0694259  2.08727146 2.0870391 ]
2,[2.06949156 2.09075582 2.09076634 2.09076634 2.09075582 2.06949156]
3,[2.08739271 2.08702599 2.06954623 2.06954623 2.08702599 2.08739271]
