,length
0,"[2.59484022 2.59484022 2.59484022 2.59483519 3.1091635  2.59483519
 2.59484022 3.1091635 ]"
1,"[2.59484022 2.59484022 2.59483519 2.59484022 2.59484022 3.1091635
 3.1091635  2.59483519]"
