,length
0,[2.00572759 1.95835655 2.01191878 1.96503197]
1,[1.95835655 2.00572759 1.96503197 2.01191878]
2,[1.96503197 2.01191878 1.95835655 2.00572759]
3,[2.01191878 1.96503197 2.00572759 1.95835655]
4,[1.96958083 1.93930959 1.93930959 1.96958083]
5,[1.93930959 1.96958083 1.96958083 1.93930959]
