,length
0,[2.05747024 1.95725717 1.96137369 1.96849839]
1,[1.88900543 1.90244678 1.90460852 1.89642609 2.48061    2.47984347]
2,[2.06169764 1.95595415 1.96572437 1.94129736]
3,[1.94339484 1.96675717 1.9555238  2.06557014]
4,[1.89023885 1.93703038 1.95487117 2.4831958  1.89531011 2.44510501]
5,[1.96590115 1.95672735 1.95426817 2.05886047]
6,[1.9653903  1.93599655 2.03369476 2.09269961]
7,[2.44228187 1.89664874 2.48021216 1.95360895 1.93758867 1.88891387]
8,[1.89486791 2.47779006 2.47977608 1.90718793 1.90796962 1.89057461]
9,[1.96399986 2.06866787 2.02959652 1.93874636]
10,[1.94251055 2.02611235 2.07012836 1.9666842 ]
11,[1.89000719 1.96078884 1.93659997 2.45381531 2.47106557 1.89557561]
12,[1.89761264 2.48493171 2.44896718 1.93790488 1.95730352 1.88790647]
13,[2.08006748 2.02846791 1.94060244 1.96784514]
