,length
0,[2.76532888 2.76532888 2.72444455 2.74463972 2.69370756 2.74463972]
1,[2.76532888 2.72444455 2.76532888 2.74463972 2.74463972 2.69370756]
2,[2.74463972 2.74463972 2.69370756 2.76532888 2.72444455 2.76532888]
3,[2.74463972 2.69370756 2.74463972 2.76532888 2.76532888 2.72444455]
4,[2.7033064  2.74325039 2.73118867 2.73118867 2.74325039 2.7033064 ]
5,[2.73118867 2.74325039 2.7033064  2.7033064  2.74325039 2.73118867]
6,[2.73118867 2.7033064  2.74325039 2.74325039 2.7033064  2.73118867]
7,[2.74325039 2.7033064  2.73118867 2.73118867 2.7033064  2.74325039]
