,length
0,[2.04048344 2.06177858 2.03132963 2.03132963 2.06177858 2.04048344]
1,[2.03132963 2.06177858 2.04048344 2.04048344 2.06177858 2.03132963]
2,[2.03132963 2.04048344 2.06177858 2.06177858 2.04048344 2.03132963]
3,[2.06177858 2.04048344 2.03132963 2.03132963 2.04048344 2.06177858]
