,length
0,"[2.59500752 2.59501049 1.64078111 1.64078111 2.32041968 1.44578231
 2.65902838 2.65902838 1.44578231 2.59501049 2.59500752]"
1,"[2.59500752 2.59501049 1.44578231 2.65902838 2.65902838 1.44578231
 1.64078111 1.64078111 2.32041968 2.59501049 2.59500752]"
2,"[2.32041012 2.59500466 1.64078111 2.59500169 2.59500466 1.64078111
 2.59500169 1.44579321 2.65902838 2.65902838 1.44578253]"
3,"[1.44578253 2.65902838 2.65902838 1.44579321 2.59500169 2.59500466
 1.64078111 2.59500169 2.59500466 1.64078111 2.32041012]"
4,[1.44578231 1.21517439]
5,[1.21517439 1.44578231]
6,[1.44578253 1.21517328]
7,[1.21516321 1.44579321]
8,[1.21517439 1.44578231]
9,[1.44578231 1.21517439]
10,[1.21517328 1.44578253]
11,[1.44579321 1.21516321]
