,length
0,[1.43740056 1.39892158 1.51099917]
1,[1.48987296 1.37702035 1.38818737]
2,[1.5365508  1.57485834 1.60088937 1.54423496]
3,[1.33907185 1.41162767 1.49206586]
4,[1.39342423 1.56548213 1.39195895]
5,[1.39195895 1.2226395 ]
6,[1.37620141 1.42989869 1.44859092]
7,[1.40972982 1.23397529]
8,[1.3853724  1.4834867  1.39731261]
9,[1.44389759 1.23397529]
10,[1.45862779 1.52674381 1.5365508  1.55140448]
11,[1.32950675 1.52787232 1.51391514]
12,[1.39013252 1.42200303 1.46342999]
13,[1.54408636 1.34046161 1.48262761]
14,[1.2225239  1.38818737]
15,[1.23810863 1.37620141]
16,[1.35422413 1.42813745 1.45760328]
17,[1.45760328 1.5337035  1.5732034  1.45545666]
18,[1.51391514 1.56548213 1.61957202 1.59684979]
19,[1.40163563 1.22833635]
20,[1.40054761 1.23671992]
21,[1.39251383 1.47076013 1.45334111]
22,[1.40683437 1.40007536 1.39251383]
23,[1.34347264 1.47679052 1.49744917]
24,[1.22056433 1.44319685]
25,[1.35401031 1.47061573 1.44996308]
26,"[2.63601706 2.07984656 1.44859092 1.5305448  2.59516332 1.31511863
 2.60313389 2.47518711]"
27,[1.38842102 1.46247121 1.41000283]
28,[1.25733687 1.37702035]
29,[1.40856565 1.55296688 1.42673549]
30,[1.52158574 1.47394331 1.40856565]
31,[1.55140448 1.60088937 1.49413565 1.53216417]
32,[1.46247121 1.47287866 1.31233517]
33,[1.44996308 1.38118293 1.54934284]
34,[1.44628054 1.53216417 1.43740056]
35,[1.2183213  1.41162767]
36,[1.37620184 1.25733687]
37,[1.40007536 1.2225239 ]
38,[1.26485121 1.35918578]
39,[1.31511863 1.33907185]
40,[1.32416847 1.32217664]
41,[1.23438612 1.40094552]
42,[1.48504218 1.42200303 1.44628054]
43,[1.42356807 1.4007351  1.48987296]
44,[1.44165768 1.34046161 1.44189887]
45,[1.46342999 1.5222689  1.49413565 1.52674381]
46,[1.50129582 1.4750434  1.41996129]
47,[1.41101986 1.35401031]
48,[1.55296688 1.39652196 1.48044922]
49,[1.2226395  1.37283972]
50,[1.55503735 1.5732034  1.42813745 1.40163563]
51,[1.41763162 1.2183213 ]
52,[1.41996129 1.45885988 1.52158574]
53,[1.50275094 1.39788181 1.39713307]
54,[1.53537209 1.40972982 1.38842102]
55,[1.57527529 1.45885988 1.47679052]
56,[1.41000283 1.47287866 1.39145598]
57,[1.49615355 1.4007351  1.47061573]
58,[1.53036045 1.5305448  1.39342423]
59,[1.50840406 1.34302131 1.54041085]
60,[1.37283972 1.42866238 1.41864703]
61,[1.49206586 1.42106009 1.35422413]
62,[1.51099917 1.40094552 1.37620184]
63,[1.34302131 1.25348485]
64,[1.44893752 1.39145598 1.45862779]
65,[1.23671992 1.31619353]
66,[1.39788181 1.22056433]
67,[1.22996336 1.40683437]
68,[1.48061769 1.4129465  1.43130437]
69,[1.36535568 1.4581244  1.49615355]
70,[1.47404294 1.51073869 1.38644437]
71,[1.35918578 1.49744917 1.47404294]
72,[1.38644437 1.23810863]
73,[1.44319685 1.52787232 1.55939363 1.53537209]
74,[1.54423496 1.48061769 1.3684871 ]
75,[1.3684871  1.43130437 1.42356807]
76,[1.59684979 1.38118293 1.40054761]
77,[1.31619353 1.25348485]
78,[1.39879678 1.39713307 1.50840406]
79,[1.22833635 1.39879678]
80,[1.42106009 1.42866238 1.39013252]
81,[1.4581244  1.39892158 1.41101986]
82,[1.41864703 1.47394331 1.48504218]
83,[1.4750434  1.49831653 1.3853724 ]
84,[1.48044922 1.42989869 1.53036045]
85,[1.35183863 1.26485121]
86,[1.57485834 1.39652196 1.4717172 ]
87,[1.42673549 1.23438612]
88,[1.54934284 1.55503735 1.5337035  1.44389759]
89,[1.48262761 1.4129465  1.44165768]
90,[1.44189887 1.51073869 1.32416847]
91,[1.61957202 1.50129582 1.37253044]
92,[1.45334111 1.55939363 1.32950675]
93,[1.54041085 1.49831653 1.54408636 1.57527529]
94,[1.4717172  1.47076013 1.36535568]
95,[1.45545666 1.5222689  1.35183863]
96,[1.31233517 1.34347264]
97,[1.37253044 1.4834867  1.44893752]
98,[1.39731261 1.22996336]
99,[1.32217664 1.41763162 1.50275094]
