,length
0,[1.5473765  1.54737605 1.5473765  1.57032393]
1,[1.54569327 1.54627574 1.54627574 1.54627529]
2,[1.57032393 1.5473765  1.5473765  1.54737605]
3,[1.54602065 1.54602065 1.54602051 1.5448679 ]
4,[1.5448679  1.54602065 1.54602051 1.54602065]
5,[1.54745388 1.54745388 1.54745374 1.57032393]
6,[1.5448679  1.54745388 1.54745374 1.54745388]
7,[1.54569327 1.5473765  1.5473765  1.54737605]
8,[1.5473765  1.54737605 1.5473765  1.54569327]
9,[1.57032393 1.54745388 1.54745374 1.54745388]
10,[1.54682272 1.54627574 1.54627574 1.54627529]
11,[1.54745388 1.54745388 1.54745374 1.5448679 ]
12,[1.54627574 1.54627529 1.54627574 1.54569327]
13,[1.54627574 1.54627529 1.54627574 1.54682272]
