,length
0,[1.40284598 2.58085624 1.27876357 2.55607111 2.77451282 2.35723759]
1,[1.40284598 2.58085624 2.55607111 2.77451282 2.35723759 1.27876357]
2,[1.27876357 1.3194515 ]
3,[1.27876357 1.3194515 ]
4,[1.3194515  1.27305982]
5,[1.27305982 1.3194515 ]
6,[1.39086944 1.27305982]
7,[1.39086944 1.27305982]
8,[1.39226415 1.27332138]
9,[1.27332138 1.39226415]
10,[1.3201962  1.27332138]
11,[1.3201962  1.27332138]
12,[1.27852773 1.3201962 ]
13,[1.27852773 1.3201962 ]
14,[2.57615984 1.4010454  2.55293071 2.77953045 1.27852773 2.34533969]
15,[2.57615984 1.27852773 2.34533969 2.55293071 2.77953045 1.4010454 ]
16,[1.23789475 1.38745572]
17,[1.38745572 1.23789475]
18,[1.23789475 1.38910454]
19,[1.23789475 1.38910454]
20,"[3.10154514 2.40314911 1.38910454 2.72785256 2.25717245 1.40284598
 2.63156307 1.5595179  2.45369307]"
21,"[1.38910454 3.10154514 2.40314911 1.5595179  2.45369307 2.63156307
 2.72785256 2.25717245 1.40284598]"
22,"[1.5595179  2.35192205 2.55607111 2.62879082 1.4467319  2.70686739
 2.52148043 1.39086944 2.35438023 2.70224417]"
23,"[1.4467319  2.62879082 2.70686739 1.5595179  2.35192205 2.55607111
 1.39086944 2.35438023 2.70224417 2.52148043]"
24,"[2.35366039 2.63156307 2.70654417 1.55877405 2.55293071 2.71128596
 2.34428695 1.4467319  2.52229032 1.39226415]"
25,"[2.71128596 1.55877405 2.55293071 2.63156307 2.70654417 2.35366039
 1.39226415 1.4467319  2.52229032 2.34428695]"
26,[1.38745572 1.4010454  1.55877405]
27,[1.4010454  1.38745572 1.55877405]
