,length
0,[1.32667321 1.26867036]
1,[1.26867036 1.32897373]
2,[1.32897373 1.25689028]
3,[1.25689028 1.40402608]
4,[1.38018783 1.40402608 1.39726757]
5,[1.39726757 1.2387464 ]
6,[1.2387464  1.36952418]
7,[1.4161404  1.39380237 1.36952418]
8,[1.38195501 1.42976649 1.39380237]
9,[1.39040885 1.4161404  1.42976649]
10,[1.40574284 1.50065647 1.39040885]
11,[1.23799124 1.40574284]
12,[1.42028617 1.23799124]
13,[1.40976803 1.42028617 1.36071443]
14,[1.25702781 1.32667321]
15,[1.25702781 1.40976803]
16,[1.36071443 1.38018783]
17,[1.42889251 1.25587826]
18,[1.25587826 1.38195501]
19,[1.37040613 1.50065647 1.42889251]
20,[1.2661046  1.32744404]
21,[1.33342193 1.2661046 ]
22,[1.25732983 1.33342193]
23,[1.25732983 1.36494403]
24,[1.36494403 1.44489426 1.3921419 ]
25,[1.3921419  1.39784739 1.40513787]
26,[1.39784739 1.24563873]
27,[1.24563873 1.37943806]
28,"[1.37943806 2.6094738  2.63692045 1.44846782 2.13066089 2.6532349
 1.49324085]"
29,[1.44846782 1.4153198  1.46087783]
30,[1.37135266 1.46087783 1.39965883]
31,[1.23666455 1.37135266]
32,[1.41541152 1.23666455]
33,[1.42318561 1.39394233 1.41541152]
34,[1.32744404 1.25267226]
35,[1.25267226 1.39394233]
36,[1.44489426 1.40513787 1.42318561]
37,"[2.50736847 1.49324085 1.30371238 1.6562148  2.73767284 2.11749602
 2.44297503]"
38,[1.30371238 1.37040613]
39,[1.4153198  2.13066089 2.65285621 1.6562148  2.62399979 1.39965883]
40,[1.27263292 1.32252321]
41,[1.32464079 1.27263292]
42,[1.26347539 1.32464079]
43,[1.26347539 1.40178818]
44,[1.40178818 1.4033973  1.37462125]
45,[1.4033973  1.23447508]
46,[1.23447508 1.38454313]
47,[1.38454313 1.40007137 1.42151297]
48,"[1.42151297 2.74931117 2.52545744 1.42500652 2.71620741 1.42980807
 1.99646096]"
49,[1.40007137 1.42500652 1.43466785]
50,[1.43466785 1.41083632 1.41933448]
51,[1.2351428  1.41083632]
52,[1.41919701 1.2351428 ]
53,[1.36909293 1.40078964 1.41919701]
54,[1.32252321 1.25815154]
55,[1.25815154 1.40078964]
56,[1.37462125 1.36909293]
57,[2.37245879 1.99646096 1.32694636 1.31031506 2.25162599]
58,[1.42980807 1.32694636]
59,[1.41933448 1.31031506]
60,[1.33160361 1.2637448 ]
61,[1.2637448  1.33071325]
62,[1.33071325 1.25723443]
63,[1.36585149 1.25723443]
64,[1.39798147 1.43516866 1.36585149]
65,[1.40554382 1.38293097 1.39798147]
66,[1.23588254 1.38293097]
67,[1.41051213 1.23588254]
68,"[2.55879338 2.01652793 2.68255161 1.42394318 1.41051213 2.57121555
 1.44743245]"
69,"[1.61517153 2.50484771 1.34386832 1.42394318 2.31205273 2.31402809
 1.91899212]"
70,[1.38479336 1.34386832 1.44285448]
71,[1.38479336 1.23409259]
72,[1.23409259 1.40966347]
73,[1.40966347 1.39739409 1.42388774]
74,[1.39739409 1.24829176]
75,[1.24829176 1.33160361]
76,[1.42388774 1.40554382 1.43516866]
77,[1.31987876 1.35638246]
78,[1.44743245 1.35638246]
79,[1.44285448 1.31987876 1.61517153]
