,length
0,"[1.48437888 2.68778536 1.48437888 2.68778536 1.48186099 2.69015733
 1.48186653 2.69016286]"
1,"[2.69016286 1.48186653 2.69015733 1.48186099 1.48437888 2.68778536
 1.48437888 2.68778536]"
2,"[1.48438041 2.68778536 1.48186856 2.69016492 2.69016492 1.48186856
 1.48438041 2.68778536]"
3,"[1.48438041 2.68778536 1.48186856 2.69016492 2.69016492 1.48186856
 1.48438041 2.68778536]"
4,[1.48437888 1.20911982]
5,[1.20911982 1.48437888]
6,[1.48438041 1.20911982]
7,[1.20911982 1.48438041]
8,[1.20911982 1.48438041]
9,[1.48438041 1.20911982]
10,[1.20911982 1.48437888]
11,[1.48437888 1.20911982]
12,[1.48186099 1.20832021]
13,[1.20832021 1.48186653]
14,[1.48186856 1.20832021]
15,[1.20832021 1.48186856]
16,[1.20832021 1.48186099]
17,[1.48186653 1.20832021]
18,[1.20832021 1.48186856]
19,[1.48186856 1.20832021]
