,length
0,[1.45307577 1.42741518 1.4051656 ]
1,[1.51976169 1.51976169 1.35892137]
2,[1.4051655  1.45307577 1.42741526]
3,[1.60433641 1.51976157 1.51020783 1.59506691]
4,[1.4051655  1.42741526 1.45307577]
5,[1.59506691 1.51020783 1.51976157 1.60433641]
6,[1.51976157 1.51976166 1.35892133]
7,[1.51976169 1.60433641 1.59506691 1.51020777]
8,[1.42741523 1.47531996 1.39365812]
9,[1.51976166 1.51976157 1.35892133]
10,[1.42741518 1.39365804 1.47531996]
11,[1.51020777 1.39365804 1.417417  ]
12,[1.47531996 1.47531996 1.35892137]
13,[1.47531996 1.47531982 1.35892133]
14,[1.51976166 1.60433626 1.59506702 1.51020781]
15,[1.51020783 1.59506691 1.60433641 1.51976157]
16,[1.42741526 1.45307577 1.4051655 ]
17,[1.39365812 1.41741691 1.51020783]
18,[1.39365804 1.417417   1.51020777]
19,[1.42741518 1.45307577 1.4051656 ]
20,[1.51020777 1.51976169 1.59506691 1.60433641]
21,[1.51020783 1.41741691 1.39365812]
22,[1.51020783 1.41741691 1.39365812]
23,[1.47531996 1.47531982 1.35892133]
24,[1.60433641 1.59506691 1.51976169 1.51020777]
25,[1.42741518 1.4051656  1.45307577]
26,[1.42741526 1.47531982 1.39365809]
27,[1.42741523 1.4051655  1.45307587]
28,[1.42741526 1.47531982 1.39365809]
29,[1.35892133 1.47531982 1.47531996]
30,[1.35892133 1.51976166 1.51976157]
31,[1.45307577 1.4051656  1.42741518]
32,[1.51976157 1.60433641 1.59506691 1.51020783]
33,[1.51020781 1.59506702 1.60433626 1.51976166]
34,[1.39365804 1.51020777 1.417417  ]
35,[1.35892133 1.51976157 1.51976166]
36,[1.35892137 1.51976169 1.51976169]
37,[1.51020781 1.41741691 1.39365809]
38,[1.45307587 1.4051655  1.42741523]
39,[1.35892133 1.47531982 1.47531996]
40,[1.39365812 1.41741691 1.51020783]
41,[1.51020777 1.417417   1.39365804]
42,[1.51020781 1.51976166 1.60433626 1.59506702]
43,[1.35892137 1.47531996 1.47531996]
44,[1.51976166 1.60433626 1.51020781 1.59506702]
45,[1.47531996 1.39365804 1.42741518]
46,[1.51020777 1.59506691 1.60433641 1.51976169]
47,[1.42741518 1.47531996 1.39365804]
48,[1.45307577 1.42741526 1.4051655 ]
49,[1.39365809 1.41741691 1.51020781]
50,[1.39365804 1.47531996 1.42741518]
51,[1.42741523 1.39365812 1.47531996]
52,[1.47531996 1.39365812 1.42741523]
53,[1.42741523 1.4051655  1.45307587]
54,[1.39365809 1.47531982 1.42741526]
55,[1.51020781 1.41741691 1.39365809]
56,[1.4051655  1.42741523 1.45307587]
57,[1.39365809 1.41741691 1.51020781]
58,[1.39365812 1.47531996 1.42741523]
59,[1.39365809 1.47531982 1.42741526]
