,length
0,[1.54603488 1.54603268 1.54603488 1.54646967]
1,[1.54603488 1.54603488 1.54603268 1.54646967]
2,[1.54506634 1.54506634 1.54507031 1.54646967]
3,[1.54603488 1.54603488 1.54646967 1.54603268]
4,[1.54506634 1.54507031 1.54646967 1.54506634]
5,[1.54603488 1.54603268 1.54603488 1.56911185]
6,[1.54506634 1.54506634 1.54646967 1.54507031]
7,[1.54506634 1.54507031 1.54506634 1.54646967]
8,[1.54603488 1.54603488 1.56911185 1.54603268]
9,[1.54603488 1.54603268 1.54646967 1.54603488]
10,[1.54603488 1.54603268 1.56911185 1.54603488]
11,[1.54603488 1.54603488 1.54603268 1.56911185]
