,length
0,[1.44771791 1.46848476 1.38790195]
1,[1.43819079 1.42527946 1.43007693]
2,[1.43775191 1.44911656 1.42102592]
3,[1.46403575 1.42102592 1.42102592]
4,[1.46848476 1.38790195 1.44771791]
5,[1.44777429 1.44696802 1.39191265]
6,[1.42223194 1.43564836 1.44193961]
7,[1.52219156 1.59313034 1.60253526 1.52219156]
8,[1.44193961 1.44771791 1.39592024]
9,[1.39191265 1.44696802 1.44777429]
10,[1.44459978 1.43836171 1.40667652]
11,[1.43819079 1.43007693 1.42527946]
12,[1.38790195 1.46848476 1.44771791]
13,[1.52219156 1.43836171 1.38790195]
14,[1.39592024 1.44771791 1.44193961]
15,[1.39592024 1.44911656 1.43471926]
16,[1.44922283 1.42527946 1.42527946]
17,[1.42527946 1.42527946 1.44922283]
18,[1.43836171 1.40667652 1.44459978]
19,[1.39592024 1.44771791 1.44193961]
20,[1.52219156 1.43836171 1.38790195]
21,[1.43819079 1.42527946 1.43007693]
22,[1.46403575 1.42223194 1.42223194]
23,[1.44614766 1.42272295 1.43564836]
24,[1.42527946 1.43007693 1.43819079]
25,[1.51755319 1.59313034 1.51755319 1.60253526]
26,[1.40667652 1.44777429 1.43471926]
27,[1.38410985 1.46848476 1.44614766]
28,[1.42527946 1.42527946 1.44922283]
29,[1.42102592 1.44911656 1.43775191]
30,[1.43471926 1.44777429 1.40667652]
31,[1.42102592 1.44911656 1.43775191]
32,[1.44459978 1.40667652 1.43836171]
33,[1.38790195 1.43836171 1.52219156]
34,[1.38410985 1.44614766 1.46848476]
35,[1.40667652 1.44777429 1.43471926]
36,[1.44922283 1.42272295 1.42272295]
37,[1.39191265 1.44696802 1.44777429]
38,[1.43819079 1.43007693 1.42527946]
39,[1.38410985 1.51755319 1.43007693]
40,[1.43836171 1.40667652 1.44459978]
41,[1.51755319 1.60253526 1.59313034 1.51755319]
42,[1.44193961 1.39592024 1.44771791]
43,[1.42232504 1.42232504 1.46829483]
44,[1.39592024 1.44911656 1.43471926]
45,[1.42272295 1.44614766 1.43564836]
46,[1.38790195 1.43836171 1.52219156]
47,[1.51755319 1.43007693 1.38410985]
48,[1.44193961 1.43564836 1.42223194]
49,[1.38410985 1.43007693 1.51755319]
50,[1.44459978 1.43836171 1.40667652]
51,[1.46829483 1.42232504 1.42232504]
52,[1.52219156 1.52219156 1.60253526 1.59313034]
53,[1.38410985 1.43007693 1.51755319]
54,[1.44193961 1.44771791 1.39592024]
55,[1.43775191 1.42232504 1.44696802]
56,[1.52219156 1.60253526 1.59313034 1.52219156]
57,[1.52219156 1.52219156 1.59313034 1.60253526]
58,[1.42223194 1.43564836 1.44193961]
59,[1.42232504 1.42232504 1.46829483]
60,[1.40667652 1.43836171 1.44459978]
61,[1.44777429 1.44696802 1.39191265]
62,[1.46848476 1.38790195 1.44771791]
63,[1.42223194 1.44193961 1.43564836]
64,[1.42102592 1.43775191 1.44911656]
65,[1.43775191 1.42232504 1.44696802]
66,[1.44771791 1.46848476 1.38790195]
67,[1.44771791 1.38790195 1.46848476]
68,[1.39191265 1.44777429 1.44696802]
69,[1.43007693 1.51755319 1.38410985]
70,[1.43836171 1.52219156 1.38790195]
