,length
0,[1.5731179  1.5731179  1.55817637 1.54965571]
1,[1.5731179  1.55817637 1.54965571 1.5731179 ]
2,[1.5731179  1.54965571 1.55817637 1.5731179 ]
3,[1.5731179  1.5731179  1.54965571 1.55817637]
4,[1.5731179  1.59536911 1.54965571 1.5731179 ]
5,[1.5731179  1.5731179  1.59536911 1.54965571]
6,[1.5731179  1.5731179  1.54965571 1.59536911]
7,[1.5731179  1.54965571 1.59536911 1.5731179 ]
8,[1.52232594 1.50639104 1.59536911 1.52232594]
9,[1.52232594 1.52232594 1.50639104 1.59536911]
10,[1.52232594 1.52232594 1.59536911 1.50639104]
11,[1.52232594 1.59536911 1.50639104 1.52232594]
12,[1.53797742 1.55817637 1.53797742 1.50639104]
13,[1.53797742 1.50639104 1.55817637 1.53797742]
14,[1.53797742 1.50639104 1.53797742 1.55817637]
15,[1.53797742 1.53797742 1.55817637 1.50639104]
